season,team,arch,gap,departed,top_left,is_mid
1516,Arsenal,prior top-6,0.2735343158626417,0.06284206580958694,False,0.0
1516,Aston Villa,prior 13-20,0.20464565583670272,0.5019501301405649,True,0.0
1516,Chelsea,prior top-6,-0.13596786690482388,0.09991474140406634,False,0.0
1516,Crystal Palace,prior 7-12,0.4161471430835333,0.20303063878030336,True,1.0
1516,Everton,prior 7-12,-0.2340538873952609,0.09586599359831224,False,1.0
1516,Leicester,prior 13-20,-0.6771464479654168,0.26419125755944023,False,0.0
1516,Liverpool,prior top-6,-0.2019188488011399,0.5068110814124339,True,0.0
1516,Man City,prior top-6,0.7055788911109976,0.2250496153739468,False,0.0
1516,Man United,prior top-6,-0.10152554846671977,0.4003270903295751,True,0.0
1516,Newcastle,prior 13-20,-0.266724246184571,0.19070331428530285,False,0.0
1516,Southampton,prior 7-12,0.003302236121255491,0.15701486545177087,False,1.0
1516,Stoke,prior 7-12,0.0303635719645944,0.14725845794602668,False,1.0
1516,Sunderland,prior 13-20,-0.33955682708498625,0.3019776815451789,True,0.0
1516,Swansea,prior 7-12,0.35954559067345404,0.2216797100505855,False,1.0
1516,Tottenham,prior top-6,-0.19095002476249975,0.17504266001556765,False,0.0
1516,West Brom,prior 13-20,-0.37823950069283785,0.2614093821503581,False,0.0
1516,West Ham,prior 7-12,-0.40323645033440697,0.23523045485796265,False,1.0
1617,Arsenal,prior top-6,-0.13434137415590225,0.05795177619388009,False,0.0
1617,Bournemouth,prior 13-20,-0.42152526516056943,0.23249662088809453,False,0.0
1617,Chelsea,prior 7-12,-0.09727548432289436,0.15030823201757157,False,1.0
1617,Crystal Palace,prior 13-20,0.0906548262257416,0.19796496721337442,False,0.0
1617,Everton,prior 7-12,0.27338114289644544,0.08815258417908406,False,1.0
1617,Leicester,prior top-6,0.18693829564212172,0.05748068763183619,False,0.0
1617,Liverpool,prior 7-12,0.4271524445775279,0.30593594631561083,True,1.0
1617,Man City,prior top-6,-0.03608461969413747,0.12828244856112409,False,0.0
1617,Man United,prior top-6,0.25843112811894814,0.07110834558250027,False,0.0
1617,Southampton,prior top-6,0.13316649497568947,0.3866426833657859,True,0.0
1617,Stoke,prior 7-12,-0.33502633183816455,0.1308587428110636,False,1.0
1617,Sunderland,prior 13-20,0.46282518729575745,0.25843782089949346,False,0.0
1617,Swansea,prior 7-12,-0.04348922917939721,0.5122727798540275,True,1.0
1617,Tottenham,prior top-6,0.05613774152826371,0.11384339425964624,False,0.0
1617,Watford,prior 13-20,0.21410306224216397,0.1854486973304703,False,0.0
1617,West Brom,prior 13-20,-0.0491998469730037,0.23664694313392412,False,0.0
1617,West Ham,prior 7-12,0.05439928460388066,0.23209609265991568,False,1.0
1718,Arsenal,prior top-6,-0.21100758900380287,0.028522532168687272,False,0.0
1718,Bournemouth,prior 7-12,-0.3654022676280856,0.010970292475010945,False,1.0
1718,Burnley,prior 13-20,-0.18262470440524864,0.3395138515631153,False,0.0
1718,Chelsea,prior top-6,-0.4551412307771831,0.3129177145052351,True,0.0
1718,Crystal Palace,prior 13-20,-0.0612338770479749,0.0747768152575195,False,0.0
1718,Everton,prior 7-12,0.09460184961473614,0.6544348928658741,True,1.0
1718,Leicester,prior 7-12,0.16032999762298913,0.16000709915278777,False,1.0
1718,Liverpool,prior top-6,0.36584781101268504,0.012867732193636345,False,0.0
1718,Man City,prior top-6,0.6005299413103744,0.15481089214084762,False,0.0
1718,Man United,prior top-6,0.7028624372841583,0.16523451617145293,False,0.0
1718,Southampton,prior 7-12,-0.22623934588268005,0.16369281913196465,False,1.0
1718,Stoke,prior 13-20,-0.10294400175722872,0.3445386157748151,True,0.0
1718,Swansea,prior 13-20,0.06442381344313723,0.5320841625293227,True,0.0
1718,Tottenham,prior top-6,-0.1059414325794355,0.013053053859083147,False,0.0
1718,Watford,prior 13-20,0.22161531432477402,0.21837861018342805,False,0.0
1718,West Brom,prior 7-12,-0.24043211843221973,0.06684217726628182,False,1.0
1718,West Ham,prior 7-12,0.13668584650378088,0.41269496245034853,False,1.0
1819,Arsenal,prior top-6,-0.18978649858451452,0.3178000361212949,False,0.0
1819,Bournemouth,prior 7-12,0.06107992859218067,0.08111160516120859,False,1.0
1819,Brighton,prior 13-20,-0.03899498558945227,0.09761081046124,False,0.0
1819,Burnley,prior 7-12,-0.1195484891743029,0.06724469339926929,False,1.0
1819,Chelsea,prior top-6,-0.3619150940877438,0.09496326574155857,False,0.0
1819,Crystal Palace,prior 7-12,-0.08244262421232655,0.118281856480896,False,1.0
1819,Everton,prior 7-12,-0.4813938549468503,0.44451116844633437,True,1.0
1819,Huddersfield,prior 13-20,-0.07678846582403732,0.2442131105130802,True,0.0
1819,Leicester,prior 7-12,-0.13198449811939222,0.2228538797106198,False,1.0
1819,Liverpool,prior top-6,0.4711428264791696,0.15249456073438455,False,0.0
1819,Man City,prior top-6,0.6551328760268718,0.009758943024069964,False,0.0
1819,Man United,prior top-6,-0.37068006995310027,0.014746618410799264,False,0.0
1819,Newcastle,prior 7-12,-0.41311224737047875,0.25966255744372985,True,1.0
1819,Southampton,prior 13-20,0.10860299922644134,0.1829878536408439,False,0.0
1819,Tottenham,prior top-6,0.24375724754506867,0.0,False,0.0
1819,Watford,prior 13-20,-0.22719640320625337,0.3170160572461651,True,0.0
1819,West Ham,prior 13-20,-0.14997061946633472,0.21541470219024017,False,0.0
1920,Arsenal,prior top-6,-0.03593063956155924,0.17792733649718115,False,0.0
1920,Bournemouth,prior 13-20,0.2129731345038815,0.03645374348740935,False,0.0
1920,Brighton,prior 13-20,0.0560094604782447,0.09668612108453503,False,0.0
1920,Burnley,prior 13-20,-0.11279141518801244,0.09925403188811406,False,0.0
1920,Chelsea,prior top-6,0.23672715583632492,0.3974514997896337,True,0.0
1920,Crystal Palace,prior 7-12,-0.001516059566887833,0.11913423178780437,False,1.0
1920,Everton,prior 7-12,-0.21017043673609148,0.1779155975089255,False,1.0
1920,Leicester,prior 7-12,-0.29968978252952805,0.0898419357692791,False,1.0
1920,Liverpool,prior top-6,-0.2292262443375337,0.020208913073753765,False,0.0
1920,Man City,prior top-6,0.5319265074001596,0.007911522083664786,False,0.0
1920,Man United,prior top-6,-0.22956968533420247,0.29777136815202376,True,0.0
1920,Newcastle,prior 13-20,-0.3427988957472749,0.6084398749711375,True,0.0
1920,Southampton,prior 13-20,0.22635266295407824,0.21380044540968293,False,0.0
1920,Tottenham,prior top-6,-0.031383375908907406,0.09146393043199723,False,0.0
1920,Watford,prior 7-12,0.10213406424378667,0.02732939591521296,False,1.0
1920,West Ham,prior 7-12,0.12402556198224221,0.2869931617561437,True,1.0
1920,Wolves,prior 7-12,-0.003720872954065861,0.15005075849837943,False,1.0
2021,Arsenal,prior 7-12,-0.058385813909130564,0.1126738197779099,False,1.0
2021,Aston Villa,prior 13-20,0.12886194667428147,0.09849528589303722,False,0.0
2021,Brighton,prior 13-20,0.009152698560073017,0.20006233880772128,False,0.0
2021,Burnley,prior 7-12,-0.2036696753421276,0.04444014584259393,False,1.0
2021,Chelsea,prior top-6,-0.6979576932491598,0.18718812257785447,False,0.0
2021,Crystal Palace,prior 13-20,0.2527894314181415,0.10461575906216389,False,0.0
2021,Everton,prior 7-12,0.6813084044699059,0.012989149742857998,False,1.0
2021,Leicester,prior top-6,-0.5832095024607523,0.02171187652590192,False,0.0
2021,Liverpool,prior top-6,0.4767157729892819,0.013994832900876282,False,0.0
2021,Man City,prior top-6,-0.49466187949445656,0.09814227946313019,False,0.0
2021,Man United,prior top-6,-0.7315893927434551,0.09670374671411691,False,0.0
2021,Newcastle,prior 13-20,-0.21778699806859708,0.050889605542776155,False,0.0
2021,Sheffield United,prior 7-12,-0.1307945488475014,0.0504554323394782,False,1.0
2021,Southampton,prior 7-12,-0.060877610598901975,0.09831165088471047,False,1.0
2021,Tottenham,prior top-6,0.528171482615405,0.05450628189897698,False,0.0
2021,West Ham,prior 13-20,0.3332621671824022,0.0748254109029949,False,0.0
2021,Wolves,prior 7-12,-0.16061952892476153,0.3554107852838075,False,1.0
2122,Arsenal,prior 7-12,-0.2213381162409504,0.15616286258310552,False,1.0
2122,Aston Villa,prior 7-12,-0.37826556001026623,0.1832192625078868,False,1.0
2122,Brighton,prior 13-20,-0.33860815058127197,0.08081052701813986,False,0.0
2122,Burnley,prior 13-20,0.15480298888267646,0.04072275071367599,False,0.0
2122,Chelsea,prior top-6,0.4128958286492787,0.2222384074076366,False,0.0
2122,Crystal Palace,prior 13-20,0.1066413433774984,0.20189304664811342,False,0.0
2122,Everton,prior 7-12,0.19593079300515887,0.213945971802576,False,1.0
2122,Leeds,prior 7-12,-0.28481672178924133,0.06869445517532381,False,1.0
2122,Leicester,prior top-6,-0.1342029572742062,0.018902253248370374,False,0.0
2122,Liverpool,prior top-6,0.3093760764304755,0.06970510940838463,False,0.0
2122,Man City,prior top-6,0.15425333308201133,0.03140481452527485,False,0.0
2122,Man United,prior top-6,0.22511438399667133,0.05263036765861982,False,0.0
2122,Newcastle,prior 7-12,0.12565562452268025,0.019441494758559,False,1.0
2122,Southampton,prior 13-20,-0.20609857983527313,0.24718720289324725,False,0.0
2122,Tottenham,prior 7-12,-0.7112226971005955,0.22862752087986216,False,1.0
2122,West Ham,prior top-6,0.11495995314661284,0.1240334794371382,False,0.0
2122,Wolves,prior 13-20,0.5248162000799597,0.08045913181487813,False,0.0
2223,Arsenal,prior top-6,0.16187819766952227,0.27960818593642894,False,0.0
2223,Aston Villa,prior 13-20,-0.42508530694943175,0.05376904990250213,False,0.0
2223,Brentford,prior 13-20,0.1123738908961528,0.03831049818480905,False,0.0
2223,Brighton,prior 7-12,-0.5435477006521103,0.4730299163214152,False,1.0
2223,Chelsea,prior top-6,-0.16619945372035433,0.3823197977914377,False,0.0
2223,Crystal Palace,prior 7-12,0.3153303357008302,0.28678280826692415,True,1.0
2223,Everton,prior 13-20,-0.04549736472306934,0.3169592315545943,True,0.0
2223,Leeds,prior 13-20,0.2745705900443189,0.417731920751587,True,0.0
2223,Leicester,prior 7-12,-0.3234915699130204,0.11054424645240826,False,1.0
2223,Liverpool,prior top-6,0.29999434912574513,0.23246073802741313,False,0.0
2223,Man City,prior top-6,0.6974443446928964,0.3084788889966668,True,0.0
2223,Man United,prior top-6,-0.3285787104823003,0.23050640435436429,False,0.0
2223,Newcastle,prior 7-12,-0.17052971055950775,0.05067805663312054,False,1.0
2223,Southampton,prior 13-20,0.20040421587925483,0.23346408571311858,False,0.0
2223,Tottenham,prior top-6,0.07144457586807544,0.11856994733690028,False,0.0
2223,West Ham,prior 7-12,-0.15810651323922173,0.034767637518069536,False,1.0
2223,Wolves,prior 7-12,0.18170209997604753,0.4013226529725454,False,1.0
2324,Arsenal,prior top-6,-0.6036190755772104,0.08236110262298484,False,0.0
2324,Aston Villa,prior 7-12,0.14676605719926303,0.25291509108852056,False,1.0
2324,Bournemouth,prior 13-20,-0.23457125431376202,0.11555549252275889,False,0.0
2324,Brentford,prior 7-12,0.04594942307438682,0.007835621496864037,False,1.0
2324,Brighton,prior top-6,0.5494008662859193,0.22791384729067282,False,0.0
2324,Chelsea,prior 7-12,-0.25808639057887484,0.5838742793655873,True,1.0
2324,Crystal Palace,prior 7-12,0.053426648461569956,0.16560599506736165,True,1.0
2324,Everton,prior 13-20,0.32048576831133146,0.4512743397913126,False,0.0
2324,Fulham,prior 7-12,-0.11152553290636934,0.10087902874306236,False,1.0
2324,Liverpool,prior top-6,-0.20795869933793448,0.1683251662860125,False,0.0
2324,Man City,prior top-6,-0.04209591583618115,0.17566044632258276,False,0.0
2324,Man United,prior top-6,0.17129257471613135,0.12152267935583945,False,0.0
2324,Newcastle,prior top-6,0.2801577921272815,0.06441243953941017,False,0.0
2324,Nott'm Forest,prior 13-20,-0.3352219927641444,0.17243746572288704,False,0.0
2324,Tottenham,prior 7-12,0.3231879851725791,0.44410063273468214,True,1.0
2324,West Ham,prior 13-20,0.3297926408779849,0.14908930162846712,False,0.0
2324,Wolves,prior 13-20,0.16008002703335517,0.6012253850172453,True,0.0
2425,Arsenal,prior top-6,0.44930782579159473,0.09049024482399115,False,0.0
2425,Aston Villa,prior top-6,0.5183774583686864,0.330737990254576,False,0.0
2425,Bournemouth,prior 7-12,0.11235113789131038,0.33898633879393153,True,1.0
2425,Brentford,prior 13-20,-0.5483745385490766,0.2711214068508559,False,0.0
2425,Brighton,prior 7-12,0.23002348105063175,0.22994816535126664,False,1.0
2425,Chelsea,prior top-6,0.38530198744456357,0.30308915300831707,False,0.0
2425,Crystal Palace,prior 7-12,-0.6155578784317757,0.1144390005263178,False,1.0
2425,Everton,prior 13-20,0.004535122908238385,0.2259335267778034,False,0.0
2425,Fulham,prior 13-20,0.1147232083651682,0.2383391076449331,False,0.0
2425,Liverpool,prior top-6,-0.002018357293993349,0.00696376901622072,False,0.0
2425,Man City,prior top-6,0.25312505298480653,0.16147113385988027,False,0.0
2425,Man United,prior 7-12,0.441093201276681,0.16360401492330098,False,1.0
2425,Newcastle,prior 7-12,-0.7939611659229594,0.04944684003949359,False,1.0
2425,Nott'm Forest,prior 13-20,-0.06033957607195628,0.27456515503468676,False,0.0
2425,Tottenham,prior top-6,1.196401433540315,0.05846018662718396,False,0.0
2425,West Ham,prior 7-12,-0.02934533838298633,0.2143840784583182,False,1.0
2425,Wolves,prior 13-20,0.15017452178699792,0.18947965160037836,False,0.0
2526,Arsenal,prior top-6,-0.27063864491839307,0.08920374311790116,False,0.0
2526,Aston Villa,prior top-6,-0.7691746339312386,0.2710521209656399,False,0.0
2526,Bournemouth,prior 7-12,-0.3830458580408762,0.26770168195930166,False,1.0
2526,Brentford,prior 7-12,-0.44287872856628424,0.5644981804898114,True,1.0
2526,Brighton,prior 7-12,-0.08676026774085768,0.23096895158398265,False,1.0
2526,Chelsea,prior top-6,-0.023978001497679594,0.5033871998224771,True,0.0
2526,Crystal Palace,prior 7-12,0.45090118978205057,0.20794151312261955,False,1.0
2526,Everton,prior 13-20,0.04602891034571515,0.4232477765918371,False,0.0
2526,Fulham,prior 7-12,0.0010547077231089289,0.07528518328166607,False,1.0
2526,Liverpool,prior top-6,-0.10461536516664394,0.3828808848826758,False,0.0
2526,Man City,prior top-6,0.0226868866363752,0.1940809063961676,False,0.0
2526,Man United,prior 13-20,-0.1354672874013174,0.3302557942348137,True,0.0
2526,Newcastle,prior top-6,-0.497162750530939,0.3143252718081036,True,0.0
2526,Nott'm Forest,prior 7-12,-0.2611845812482003,0.16371678910669354,False,1.0
2526,Tottenham,prior 13-20,-0.20086161055494087,0.38562251052702834,False,0.0
2526,West Ham,prior 13-20,-0.5428163683080565,0.36083207480483476,False,0.0
2526,Wolves,prior 13-20,-0.06344222105884065,0.7079260355602666,True,0.0
