label,n,treated,beta,se,t,p,gamma_prior,mde_ppg,loso_min,loso_max,loso_sign_stable,loso_folds
rest-of-season PPG,496,60,-0.04391571007042294,0.03845678273442088,-1.1419496626564143,0.26314686310039237,0.7924216813830747,0.10767899165637845,-0.05665979744027204,-0.026200914109327282,29.0,29.0
S1 PLACEBO: lost to a promoted club in matches 20-22,496,48,-0.05596401791308673,0.051263584254246625,-1.091691475093272,0.2842737184423343,0.7836038136355254,0.14353803591189054,,,,
S2 SPECIFICITY: lost to a prior-bottom-6 club in matches 1-3,496,53,-0.05314904881513641,0.05104112803163995,-1.0412984756565289,0.30664523825789103,0.7946513239520269,0.14291515848859185,,,,
EXPLORATORY strong clubs (prior ppg >= q75),131,7,-0.03176924087334602,0.16007961370235577,-0.19845900510739736,0.8441199085790001,0.5981145631949462,0.4482229183665961,,,,
