component,n_pairs,rho_measured,se_measured,reliability,rho_disattenuated,se_disattenuated,ci_lo,ci_hi,rho_corrected,ci_lo_sim,ci_hi_sim,sim_saturated
from_corner,187,0.7097121379560248,0.06822535149391598,0.5777168227373553,1.2284775343623289,0.13324698890002643,0.9673134361182771,1.4896416326063806,0.9700000000000002,0.9391299816755275,0.9700000000000002,True
open_play,187,0.7754973897477981,0.042494654197175116,0.8880206449190442,0.8732875684646901,0.048992666976310675,0.7772619411911212,0.969313195738259,0.9053065262219507,0.8208158147326197,0.9700000000000002,False
penalty,187,0.5250725719353383,0.14611017190007886,0.6926669519617505,0.7580447868174504,0.21741143662890178,0.33191837102480287,1.184171202610098,0.8100000000000002,0.8100000000000002,0.8100000000000002,True
set_piece,187,0.38899194523190306,0.06690127908462394,0.47877189969358236,0.8124786468898046,0.1454763320043453,0.5273450361612879,1.0976122576183214,0.8092309287063147,0.5467282687614595,0.9700000000000002,False
set_piece_all,187,0.6789248354230839,0.06608425145330327,0.6285704428825366,1.0801093864828086,0.1197055408020687,0.845486526510754,1.3147322464548632,0.9700000000000002,0.8422607627473336,0.9700000000000002,True
