metric,treated_gap,control_gap,did,p_exact,n_treated,n_control,perm_sd
total_goals,0.04208333333333343,0.01391369047619032,0.02816964285714311,0.8661616161616161,5,7,0.17355235364824426
home_adv,-0.08916666666666676,-0.10968355042051371,0.020516883753846957,0.8914141414141414,5,7,0.1384054746080007
cs_rate,-0.022604166666666647,0.011607142857142863,-0.03421130952380951,0.3143939393939394,5,7,0.03234197615316205
goal_spread,0.1896304154355521,0.24949411158412185,-0.05986369614856976,0.25,5,7,0.05018031574302136
