feed,n,r,calib_a,calib_b,resid_sd
PitchAPI ratio-of-sums,20,0.9677480058227025,-0.354427397355142,1.167099294562094,0.03809766078639683
PitchAPI mean-of-log,20,0.9620992071228154,-0.27111255517839744,1.1305936027588162,0.041240119270332505
