player_code,pen_now,pen_prev,penalties_order,declared_first,prev_taker,either
15157,1.0,0.0,1.0,1.0,0.0,1.0
17761,0.0,0.0,,0.0,0.0,0.0
18892,0.0,0.0,,0.0,0.0,0.0
19236,0.0,0.0,,0.0,0.0,0.0
37096,0.0,0.0,,0.0,0.0,0.0
37642,0.0,0.0,,0.0,0.0,0.0
39155,0.0,0.0,,0.0,0.0,0.0
40383,0.0,0.0,,0.0,0.0,0.0
44699,0.0,0.0,2.0,0.0,0.0,0.0
47431,0.0,0.0,,0.0,0.0,0.0
49262,0.0,0.0,,0.0,0.0,0.0
50175,3.0,1.0,2.0,0.0,0.0,0.0
51927,0.0,0.0,,0.0,0.0,0.0
54469,0.0,0.0,,0.0,0.0,0.0
55459,0.0,0.0,,0.0,0.0,0.0
55494,0.0,0.0,,0.0,0.0,0.0
56979,0.0,0.0,,0.0,0.0,0.0
57328,0.0,0.0,,0.0,0.0,0.0
57531,0.0,0.0,,0.0,0.0,0.0
58376,0.0,0.0,,0.0,0.0,0.0
58621,0.0,0.0,,0.0,0.0,0.0
59735,0.0,0.0,,0.0,0.0,0.0
59859,0.0,0.0,,0.0,0.0,0.0
59949,0.0,0.0,,0.0,0.0,0.0
60232,0.0,0.0,,0.0,0.0,0.0
60307,0.0,0.0,,0.0,0.0,0.0
60689,0.0,3.0,1.0,1.0,1.0,1.0
61256,0.0,0.0,,0.0,0.0,0.0
61366,0.0,0.0,,0.0,0.0,0.0
67089,0.0,0.0,,0.0,0.0,0.0
69752,0.0,0.0,,0.0,0.0,0.0
72147,0.0,0.0,,0.0,0.0,0.0
74854,0.0,0.0,,0.0,0.0,0.0
74944,0.0,0.0,,0.0,0.0,0.0
75115,0.0,0.0,,0.0,0.0,0.0
76357,0.0,0.0,,0.0,0.0,0.0
77794,0.0,0.0,,0.0,0.0,0.0
78916,0.0,0.0,,0.0,0.0,0.0
79602,0.0,0.0,,0.0,0.0,0.0
80146,0.0,1.0,,0.0,0.0,0.0
