channel,splits,mae_all,mae_nored,mae_rand,diff,lo,hi,verdict,cost_vs_all,mae_all_ALLtgt,mae_nored_ALLtgt,mae_rand_ALLtgt,diff_ALLtgt,lo_ALLtgt,hi_ALLtgt
npxG/90,120,0.06790303889747856,0.06963838962269392,0.07012639656584406,-0.0004880069431501407,-0.0007142261307436571,-0.0002617877555566243,KEEP,0.0017353507252153566,0.06565552381872548,0.06759717616962921,0.0679882590858981,-0.0003910829162688947,-0.0006104123716443651,-0.00017175346089342425
xA/90,120,0.06140386222221818,0.06299522501139841,0.06323545308558674,-0.00024022807418831976,-0.0004239211957256055,-5.653495265103405e-05,KEEP,0.001591362789180234,0.05971443238215611,0.061461302303391904,0.06159564404172856,-0.00013434173833665089,-0.0003159292242246888,4.724574755138699e-05
