channel,n,mae_pooled,mae_split,rho_pooled,rho_split,diff,lo,hi,k_vol,k_qual,k_pooled,verdict
npxG/90  (shots/90 x npxG/shot),2635,0.05196831833779148,0.05387441210842504,0.8094212032006586,0.798021648127398,0.001928264370184303,-0.0007260666096681448,0.0045825953500367505,12.0,12.0,5.0,NO DIFFERENCE — pooled stands
xA/90    (key passes/90 x xA/key pass),2707,0.04358849485318203,0.04270921413287203,0.7748683235992778,0.7884971522471503,-0.0008743624191624441,-0.001513565936278692,-0.00023515890204619605,0.5,25.0,8.0,SPLIT WINS
