season,team,opp,md,rest,opp_rest,rest_diff,resid
1516,Aston Villa,Watford,36,7.0,9.0,-2.0,-0.10490194069339936
1516,Aston Villa,Newcastle,37,7.0,7.0,0.0,-0.7934203755867228
1516,Aston Villa,Arsenal,38,8.0,6.0,2.0,-0.20897989149482732
1516,Bournemouth,Liverpool,2,9.0,8.0,1.0,-0.200117940529983
1516,Bournemouth,West Ham,3,4.0,7.0,-3.0,1.1754325207229335
1516,Bournemouth,Leicester,4,7.0,7.0,0.0,-0.6349570587698765
1516,Bournemouth,Norwich,5,14.0,13.0,1.0,-0.5651997222804137
1516,Bournemouth,Sunderland,6,7.0,6.0,1.0,-0.5577995408539566
1516,Bournemouth,Stoke,7,7.0,7.0,0.0,-0.06860241369316245
1516,Bournemouth,Watford,8,7.0,5.0,2.0,-0.3007635014784218
1516,Bournemouth,Man City,9,14.0,14.0,0.0,-0.5098617314035437
1516,Bournemouth,Tottenham,10,8.0,8.0,0.0,-0.31960771453579645
1516,Bournemouth,Southampton,11,7.0,6.0,1.0,-0.09767197522485283
1516,Bournemouth,Newcastle,12,5.0,6.0,-1.0,-0.1718066145314472
1516,Bournemouth,Swansea,13,14.0,14.0,0.0,0.6156439169971161
1516,Bournemouth,Everton,14,7.0,7.0,0.0,0.5476789983019199
1516,Bournemouth,Chelsea,15,7.0,6.0,1.0,0.4855613042833197
1516,Bournemouth,Man United,16,7.0,7.0,0.0,0.1814645192620744
1516,Bournemouth,West Brom,17,6.0,5.0,1.0,0.24937131387010592
1516,Bournemouth,Crystal Palace,18,7.0,7.0,0.0,-0.26542447751418063
1516,Bournemouth,Arsenal,19,2.0,1.0,1.0,-0.27194416399961113
1516,Bournemouth,Leicester,20,4.0,3.0,1.0,0.4784270709736328
1516,Bournemouth,West Ham,21,10.0,10.0,0.0,-0.3957687903354419
1516,Bournemouth,Norwich,22,3.0,2.0,1.0,0.6004093745430727
1516,Bournemouth,Sunderland,23,7.0,7.0,0.0,0.28699069946786493
1516,Bournemouth,Crystal Palace,24,10.0,10.0,0.0,0.24607916903993854
1516,Bournemouth,Arsenal,25,4.0,4.0,0.0,-0.16976965579295233
1516,Bournemouth,Stoke,26,6.0,7.0,-1.0,0.04264357474664293
1516,Bournemouth,Watford,27,14.0,14.0,0.0,0.10425937206139424
1516,Bournemouth,Southampton,28,3.0,3.0,0.0,0.42045708891628153
1516,Bournemouth,Newcastle,29,3.0,2.0,1.0,0.30828648578644013
1516,Bournemouth,Swansea,30,7.0,7.0,0.0,-0.47978763671127944
1516,Bournemouth,Tottenham,31,8.0,7.0,1.0,-0.5411372122987744
1516,Bournemouth,Man City,32,12.0,12.0,0.0,0.4875214113507582
1516,Bournemouth,Aston Villa,33,7.0,7.0,0.0,-0.023164035458943966
1516,Bournemouth,Liverpool,34,7.0,6.0,1.0,0.04966198441425829
1516,Bournemouth,Chelsea,35,6.0,6.0,0.0,-0.3723315639033219
1516,Bournemouth,Everton,36,7.0,9.0,-2.0,0.4924499779004575
1516,Bournemouth,West Brom,37,7.0,7.0,0.0,-0.26433769219674175
1516,Bournemouth,Man United,38,10.0,6.0,4.0,-0.20593247751059618
1516,Chelsea,Man City,2,7.0,5.0,2.0,-0.4879471567775589
1516,Chelsea,West Brom,3,6.0,7.0,-1.0,0.7755693785412767
1516,Chelsea,Crystal Palace,4,6.0,7.0,-1.0,-0.3363406863714169
1516,Chelsea,Everton,5,13.0,13.0,0.0,-0.6704961191703878
1516,Chelsea,Arsenal,6,7.0,6.0,1.0,0.9971574111850756
1516,Chelsea,Newcastle,7,7.0,7.0,0.0,-0.058559316576594744
1516,Chelsea,Southampton,8,7.0,7.0,0.0,-0.8891880897554265
1516,Chelsea,Aston Villa,9,13.0,14.0,-1.0,-0.5585531626946989
1516,Chelsea,West Ham,10,7.0,7.0,0.0,-0.1699952224762853
