arch,prior top-6,prior 7-12,prior 13-20,promoted
prior top-6,0.24696969696969698,0.35858585858585856,0.38636363636363635,0.42424242424242425
prior 7-12,0.16414141414141414,0.27424242424242423,0.28939393939393937,0.398989898989899
prior 13-20,0.13787878787878788,0.22575757575757577,0.2681818181818182,0.3606060606060606
promoted,0.09090909090909091,0.20959595959595959,0.24848484848484848,0.25
