channel,k,n,w_selected,mae_w0,mae_wbest,diff,lo,hi,verdict
npxG/90,3,527,1.75,0.06269897729017777,0.05999397753795334,-0.0027049997522244295,-0.005115285072579636,-0.0002947144318692233,HELPS
npxG/90,5,511,1.5,0.06463606223327097,0.06166029437674691,-0.002975767856524067,-0.005500589430361988,-0.000450946282686146,HELPS
npxG/90,8,485,0.875,0.06386330668773131,0.06109003487866875,-0.0027732718090625673,-0.0050589334348353394,-0.0004876101832897951,HELPS
npxG/90,12,438,1.125,0.06623766428347577,0.06293664430059134,-0.0033010199828844284,-0.006448333951003681,-0.00015370601476517604,HELPS
xA/90,3,527,0.5,0.048767771543919765,0.04839702950189636,-0.00037074204202340404,-0.0010832546181091494,0.00034177053406234147,no difference
xA/90,5,511,1.0,0.04955430163187687,0.04769282263631789,-0.0018614789955589824,-0.0033717469002554792,-0.00035121109086248565,HELPS
xA/90,8,485,1.125,0.05031436371447183,0.04808085860857163,-0.0022335051059001946,-0.004334729496602319,-0.00013228071519806985,HELPS
xA/90,12,438,0.875,0.05318142909826178,0.04991675715195782,-0.003264671946303956,-0.005355382134768401,-0.001173961757839511,HELPS
