hypothesis,predictor,note,n,seasons,mde_per_unit,mde_per_sd,coef_total,se_total,p_total,ci_lo,ci_hi,coef_gf,p_gf,effect_per_sd_total,loso_min,loso_max,secondary_agrees,verdict,control_home_adv_diff,control_p,control_recovered
H1 prior-season final position,prior_position,"higher number = finished lower. Continuous rank, ONE test, not four buckets.",508,30,0.022251992839849764,0.11195627682536916,-0.008817587166277943,0.006663658958534035,0.19609585249159922,-0.022446299993334896,0.004811125660779009,-0.009142710032552709,0.11205258504478066,-0.04436385706325352,,,True,null,-0.17276780322696872,0.010525601806130713,True
H2 prior-season last-10 form,late10_form,"goals-scored residual over the final 10, above that club's own season baseline.",508,30,0.3565733954163459,0.1234858992475911,-0.04435110577361656,0.10678070579304907,0.6809446439097779,-0.26274217046941184,0.17403995892217874,-0.020206761526962262,0.8227127514252648,-0.015359351677612591,,,True,null,-0.17276780322696872,0.010525601806130713,True
H3 offseason manager change,offseason_mgr,appointed between 1 May and 15 Aug. 2014/15 on only.,240,12,0.42091968116771766,0.15397923033045965,-0.028423088542514456,0.12605006771409194,0.8257323526217937,-0.30585741700977703,0.2490112399247481,-0.035876159619482734,0.7435518678923307,-0.010397625706760472,,,True,null,-0.17276780322696872,0.010525601806130713,True
H4 squad turnover,churn,arrivals + departures. 2014/15 on only; transfermarkt transcription.,240,12,0.011569134863147512,0.16237120498391122,0.0039508330019144035,0.0034645332545335224,0.2783552555829223,-0.0036745532779578673,0.011576219281786674,0.004365596658808004,0.08314598363016534,0.05544939382239315,,,True,null,-0.17276780322696872,0.010525601806130713,True
