arch,GW1-6 early,GW7-19 autumn,GW20-30 winter,GW31-38 run-in
prior top-6,0.773,0.809,0.815,0.857
prior 7-12,1.034,1.011,1.021,1.017
prior 13-20,1.082,1.062,1.069,1.116
promoted,1.187,1.214,1.173,1.231
