player,pos,team,cost,own,0.0,0.25,0.5,0.75,1.0,range
Emersonn,FWD,Ipswich,5.5,1.7,10.182,,,,,0.0
Soler,DEF,Bournemouth,4.0,0.3,10.177,,,,,0.0
Touré,MID,Newcastle,5.9,0.1,10.169,,,,,0.0
Giles,DEF,Hull,4.0,1.3,10.122,,,,,0.0
Hughes,MID,Crystal Palace,4.5,8.9,10.084,10.286,10.633,10.784,10.879,0.794
Acheampong,DEF,Chelsea,4.5,0.4,9.93,10.004,10.051,10.056,10.175,0.244
Kevin,MID,Fulham,5.4,0.0,9.925,9.925,9.925,9.925,9.925,0.0
Isidor,FWD,Sunderland,5.5,1.4,9.909,9.909,9.909,9.909,9.909,0.0
Mundle,MID,Sunderland,4.9,0.0,9.908,9.908,9.908,9.908,9.908,0.0
Hinshelwood,MID,Brighton,6.0,1.1,9.887,9.636,9.516,9.345,9.317,0.57
Lacey,MID,Man United,4.9,0.1,9.863,,,,,0.0
Lindelöf,DEF,Aston Villa,4.5,0.3,9.86,9.688,9.523,9.618,9.594,0.337
Robertson,DEF,Tottenham,4.5,2.9,9.857,11.032,11.76,12.448,12.868,3.011
Palacios,MID,Fulham,5.5,0.2,9.856,,,,,0.0
Hackney,MID,Everton,5.5,0.2,9.838,,,,,0.0
Zepa,MID,Fulham,4.5,0.3,9.837,,,,,0.0
Mingueza,DEF,Crystal Palace,4.4,0.1,9.834,,,,,0.0
Oriola,MID,Brighton,4.5,0.3,9.816,,,,,0.0
Bergvall,MID,Tottenham,5.4,0.2,9.813,9.516,9.414,9.512,9.439,0.399
Schuster,DEF,Brentford,4.5,0.1,9.804,,,,,0.0
Hickey,DEF,Brentford,4.5,0.1,9.803,9.803,9.803,9.803,9.803,0.0
McAidoo,MID,Man City,4.5,0.1,9.767,,,,,0.0
Goretzka,MID,Aston Villa,6.0,0.1,9.751,,,,,0.0
Kipré,DEF,Ipswich,4.0,0.5,9.72,,,,,0.0
Furlong,DEF,Ipswich,4.0,0.5,9.718,,,,,0.0
Lavia,MID,Chelsea,5.0,0.2,9.697,9.9,9.742,9.699,9.581,0.319
McConnell,MID,Liverpool,4.5,0.2,9.688,,,,,0.0
Costinha,DEF,Brighton,4.5,0.0,9.665,,,,,0.0
Armstrong,MID,Everton,5.0,0.4,9.622,9.385,9.368,9.438,9.488,0.254
Arrizabalaga,GK,Arsenal,4.9,0.1,9.61,,,,,0.0
Kostoulas,FWD,Brighton,5.5,0.5,9.571,9.571,9.571,9.571,9.571,0.0
Gomez,DEF,Liverpool,5.0,0.0,9.512,9.78,9.736,9.921,10.104,0.591
Mbaye,MID,Aston Villa,6.0,0.1,9.503,,,,,0.0
Bamba,MID,Newcastle,4.9,0.1,9.495,,,,,0.0
Hadjam,DEF,Brighton,4.5,0.0,9.433,,,,,0.0
Coppola,DEF,Brighton,4.5,0.0,9.389,,,,,0.0
Harwood-Bellis,DEF,Aston Villa,4.5,0.0,9.387,,,,,0.0
Anselmino,DEF,Chelsea,4.5,0.0,9.377,,,,,0.0
Barco,MID,Chelsea,5.5,0.1,9.339,,,,,0.0
Lucky,DEF,Liverpool,4.0,0.1,9.295,,,,,0.0
Ji-soo,DEF,Brentford,4.5,0.0,9.234,,,,,0.0
Maeda,MID,Ipswich,5.4,0.3,9.229,,,,,0.0
Steur,MID,Newcastle,4.9,0.1,9.209,,,,,0.0
Georginio,FWD,Brighton,5.5,0.6,9.169,9.514,9.622,10.082,10.23,1.061
O'Riley,MID,Brighton,5.5,0.1,9.129,,,,,0.0
J.Fletcher,MID,Man United,5.0,0.0,9.112,,,,,0.0
Emegha,FWD,Chelsea,5.0,0.2,9.102,,,,,0.0
O'Nien,DEF,Sunderland,4.0,2.8,9.091,9.091,9.091,9.091,9.091,0.0
Tzolakis,GK,Hull,4.6,9.2,9.088,,,,,0.0
Shepherd,MID,Coventry,4.5,0.3,9.056,,,,,0.0
Samba,MID,Man City,4.5,0.0,9.042,,,,,0.0
Tchaouna,MID,Coventry,5.5,0.1,9.041,9.041,9.041,9.041,9.041,0.0
Affengruber,DEF,Fulham,4.5,0.0,9.034,,,,,0.0
Röhl,MID,Everton,5.0,0.1,9.029,9.029,9.029,9.029,9.029,0.0
Mheuka,FWD,Chelsea,4.5,0.4,9.023,,,,,0.0
Maddison,MID,Tottenham,6.4,0.5,9.018,,,,,0.0
Kinsky,GK,Tottenham,4.5,18.7,8.986,9.524,10.042,10.401,10.626,1.64
Dowell,MID,Hull,4.5,0.4,8.969,,,,,0.0
Marmoush,FWD,Tottenham,7.0,2.2,8.966,10.298,11.432,12.068,12.995,4.028
Rodríguez,FWD,Bournemouth,6.0,0.1,8.963,,,,,0.0
Gannon-Doak,MID,Bournemouth,4.9,0.1,8.955,,,,,0.0
Meslier,GK,Arsenal,4.9,0.0,8.949,,,,,0.0
Endo,MID,Liverpool,5.0,0.1,8.933,,,,,0.0
Fatawu,MID,Ipswich,5.5,0.2,8.922,,,,,0.0
Methalie,DEF,Sunderland,4.5,0.0,8.915,,,,,0.0
Diop,DEF,Ipswich,4.0,14.9,8.91,9.746,10.362,10.528,10.736,1.826
Akpom,FWD,Ipswich,5.0,1.1,8.905,,,,,0.0
Lienou,DEF,Leeds,4.0,0.1,8.887,,,,,0.0
James,MID,Leeds,5.0,0.1,8.861,8.861,8.861,8.861,8.861,0.0
Fernandez-Pardo,FWD,Newcastle,6.0,0.1,8.848,,,,,0.0
Simms,FWD,Coventry,5.0,0.8,8.827,,,,,0.0
Mamardashvili,GK,Liverpool,4.9,0.1,8.824,8.824,8.824,8.824,8.824,0.0
Quenda,MID,Chelsea,5.4,0.0,8.796,,,,,0.0
Byfield,DEF,Tottenham,4.0,0.1,8.789,,,,,0.0
Thomas-Asante,FWD,Coventry,5.0,0.8,8.77,,,,,0.0
Ahoka,MID,Sunderland,4.5,0.2,8.768,,,,,0.0
Ahanor,DEF,Crystal Palace,4.5,0.0,8.752,,,,,0.0
Schlager,MID,Nott'm Forest,5.0,0.1,8.751,,,,,0.0
Charles,MID,Fulham,5.0,0.1,8.736,,,,,0.0
Rigg,MID,Sunderland,4.9,0.1,8.73,8.73,8.73,8.73,8.73,0.0
Herrington,DEF,Hull,4.0,0.6,8.729,,,,,0.0
Smith,DEF,Bournemouth,4.5,0.1,8.712,9.517,9.905,10.376,10.549,1.838
Bard,DEF,Leeds,4.5,0.0,8.687,,,,,0.0
Phillips,MID,Man City,5.0,0.0,8.687,,,,,0.0
Mudryk,MID,Tottenham,5.4,0.1,8.685,,,,,0.0
Yirenkyi,MID,Coventry,4.9,0.2,8.65,,,,,0.0
Rowswell,DEF,Tottenham,4.0,0.1,8.644,,,,,0.0
Grimes,MID,Coventry,5.0,0.2,8.628,,,,,0.0
Graham,MID,Everton,4.5,0.1,8.624,,,,,0.0
Koumas,MID,Liverpool,5.0,0.0,8.589,,,,,0.0
Yohanna,MID,Brighton,4.9,0.1,8.553,,,,,0.0
Alysson,MID,Aston Villa,5.0,0.0,8.469,,,,,0.0
Osman,MID,Brighton,5.0,0.0,8.457,,,,,0.0
Nyoni,MID,Liverpool,4.9,0.0,8.388,,,,,0.0
Phillips,DEF,Tottenham,4.5,0.0,8.37,,,,,0.0
David,FWD,Brighton,6.0,0.2,8.368,,,,,0.0
Jebbison,FWD,Bournemouth,5.0,0.1,8.341,,,,,0.0
Torp,MID,Coventry,5.4,0.1,8.333,,,,,0.0
Andrés,MID,Brighton,5.5,0.0,8.325,,,,,0.0
Coyle,DEF,Hull,4.0,0.5,8.321,,,,,0.0
Forster,GK,Bournemouth,4.0,3.4,8.321,,,,,0.0
Doucouré,MID,Crystal Palace,4.9,0.1,8.305,,,,,0.0
Yates,MID,Nott'm Forest,4.5,1.4,8.301,8.992,9.501,9.816,9.959,1.658
Tóth.A,MID,Bournemouth,5.0,0.0,8.293,,,,,0.0
Kalimuendo,FWD,Nott'm Forest,5.4,0.1,8.252,,,,,0.0
Elvedi,DEF,Leeds,4.5,0.0,8.25,,,,,0.0
Danns,FWD,Liverpool,4.5,0.1,8.243,,,,,0.0
Osorio,MID,Crystal Palace,5.5,0.0,8.241,,,,,0.0
Ángel,MID,Fulham,5.0,0.0,8.196,,,,,0.0
Matthews,GK,Crystal Palace,4.0,1.8,8.187,,,,,0.0
Chiesa,MID,Liverpool,5.4,0.1,8.162,8.223,8.26,8.392,8.302,0.23
Martinelli,MID,Arsenal,6.3,0.1,8.15,7.21,6.427,6.01,5.665,2.485
Larsson,MID,Fulham,5.0,0.0,8.103,,,,,0.0
Williams-Barnett,MID,Tottenham,4.5,0.1,8.103,,,,,0.0
Drakes-Thomas,MID,Crystal Palace,4.5,0.1,8.036,,,,,0.0
Hamer,MID,Coventry,5.4,0.1,8.029,,,,,0.0
Gozo,MID,Crystal Palace,5.0,0.0,7.993,,,,,0.0
Núñez,MID,Ipswich,5.0,0.1,7.967,,,,,0.0
Carvalho,MID,Brentford,5.0,0.0,7.966,,,,,0.0
Timber,MID,Crystal Palace,5.0,0.0,7.962,,,,,0.0
J.Rak-Sakyi,MID,Crystal Palace,5.0,0.0,7.955,,,,,0.0
Rudoni,MID,Coventry,5.0,0.1,7.953,,,,,0.0
Cresswell,MID,Leeds,4.5,0.1,7.934,,,,,0.0
M.França,MID,Crystal Palace,4.9,0.0,7.898,,,,,0.0
Onyeka,MID,Coventry,4.9,0.1,7.866,,,,,0.0
Sakamoto,MID,Coventry,4.9,0.1,7.86,,,,,0.0
Rulli,GK,Man City,5.0,0.0,7.818,,,,,0.0
Mason-Clark,MID,Coventry,5.4,0.1,7.811,,,,,0.0
J.Timber,DEF,Arsenal,6.5,0.1,7.794,7.673,7.679,7.532,7.333,0.461
Bidwell,DEF,Coventry,4.0,0.1,7.781,,,,,0.0
J.Angulo,FWD,Sunderland,4.5,0.4,7.713,,,,,0.0
Bogarde,MID,Aston Villa,5.0,0.1,7.644,7.699,7.752,7.699,7.787,0.143
Bahoya,MID,Leeds,5.0,0.0,7.635,,,,,0.0
Fofana,MID,Sunderland,5.5,0.0,7.591,,,,,0.0
Stroud,MID,Hull,5.0,0.1,7.57,,,,,0.0
Johnson,DEF,Ipswich,4.0,0.1,7.567,,,,,0.0
Osula,FWD,Newcastle,5.9,0.4,7.501,7.886,8.366,8.389,8.781,1.28
Bettinelli,GK,Man City,4.5,0.0,7.449,,,,,0.0
Jocelin.T,MID,Sunderland,5.0,0.0,7.428,,,,,0.0
McAtee,MID,Nott'm Forest,5.5,0.1,7.388,8.288,9.084,9.852,10.432,3.044
Eccles,MID,Coventry,4.9,0.0,7.345,,,,,0.0
Hjertø-Dahl,MID,Hull,4.9,0.1,7.314,,,,,0.0
Mehmeti,MID,Ipswich,4.9,0.0,7.276,,,,,0.0
Cherif,FWD,Coventry,5.0,0.1,7.274,,,,,0.0
Crooks,MID,Hull,4.5,0.5,7.253,,,,,0.0
Latibeaudiere,DEF,Coventry,4.0,0.0,7.248,,,,,0.0
Norton-Cuffy,DEF,Hull,4.0,0.2,7.219,,,,,0.0
Lecomte,GK,Fulham,4.0,1.2,7.193,,,,,0.0
Gourna-Douath,MID,Hull,5.0,0.0,7.176,,,,,0.0
Palacios,MID,Ipswich,5.0,0.0,7.149,,,,,0.0
Kamara,MID,Hull,5.0,0.0,7.106,,,,,0.0
Ömür,MID,Hull,4.9,0.0,7.105,,,,,0.0
Lewis-Skelly,MID,Arsenal,5.5,0.7,7.105,7.52,7.865,8.294,8.442,1.337
De Fougerolles,DEF,Fulham,4.0,0.1,7.061,,,,,0.0
Akintola,MID,Hull,5.0,0.0,7.051,,,,,0.0
G.Jesus,FWD,Arsenal,5.9,0.2,7.038,7.246,7.263,7.311,7.231,0.273
Woodman,GK,Liverpool,4.0,1.1,7.033,,,,,0.0
Cho,MID,Hull,5.0,0.0,7.018,,,,,0.0
Rushworth,GK,Coventry,4.5,1.0,6.967,,,,,0.0
Thomas,MID,Hull,5.5,0.0,6.953,,,,,0.0
Gelhardt,MID,Hull,5.0,0.0,6.949,,,,,0.0
Morita,MID,Hull,5.0,0.0,6.948,,,,,0.0
Travers,GK,Everton,5.0,0.0,6.896,,,,,0.0
Mouzakitis,MID,Hull,5.0,0.0,6.876,,,,,0.0
Ansah,FWD,Hull,5.0,0.0,6.874,,,,,0.0
Vaz,FWD,Hull,5.0,0.0,6.765,,,,,0.0
M.Bizot,GK,Aston Villa,4.5,0.1,6.671,6.671,6.671,6.671,6.671,0.0
Hughes,DEF,Hull,4.0,0.1,6.501,,,,,0.0
McNair,DEF,Hull,4.0,0.1,6.431,,,,,0.0
Austin,GK,Tottenham,4.0,1.0,6.392,,,,,0.0
King,GK,Everton,4.5,0.0,6.348,,,,,0.0
Benda,GK,Nott'm Forest,4.5,0.1,6.216,,,,,0.0
Gillespie,GK,Newcastle,4.5,0.0,6.211,,,,,0.0
McCarthy,DEF,Hull,4.0,0.1,6.199,,,,,0.0
Pinnock,DEF,Coventry,4.5,0.1,6.191,8.964,11.015,12.259,13.398,7.207
Benitez,GK,Crystal Palace,4.5,0.1,6.18,,,,,0.0
Dibling,MID,Everton,5.4,0.0,6.158,7.501,8.515,9.334,9.85,3.692
Gnonto,MID,Leeds,5.0,0.0,6.091,6.091,6.091,6.091,6.091,0.0
Jaouen,GK,Newcastle,4.5,0.0,6.071,,,,,0.0
Penders,GK,Chelsea,4.5,0.1,6.03,,,,,0.0
Adli,MID,Bournemouth,4.9,0.0,6.017,6.017,6.017,6.017,6.017,0.0
Collins,DEF,Brentford,5.5,1.8,6.0,6.025,6.191,6.216,6.261,0.261
Scherpen,GK,Ipswich,4.5,0.6,5.976,,,,,0.0
Beto,FWD,Everton,5.4,1.1,5.895,5.629,5.568,5.612,5.525,0.371
Valdimarsson,GK,Brentford,4.5,0.1,5.88,,,,,0.0
Davies,GK,Liverpool,4.0,0.2,5.862,,,,,0.0
Zetterer,GK,Leeds,4.0,0.4,5.844,,,,,0.0
Bentley,GK,Coventry,4.0,0.4,5.788,6.17,6.528,6.641,6.798,1.01
Wilson,GK,Coventry,4.5,0.4,5.646,,,,,0.0
Cairns,GK,Leeds,4.0,0.2,5.605,,,,,0.0
Odobert,MID,Tottenham,5.5,0.0,5.51,5.124,4.989,4.848,4.721,0.79
Walton,GK,Ipswich,4.5,0.4,5.491,,,,,0.0
Bailey,MID,Aston Villa,5.4,0.1,5.442,5.321,5.267,5.197,5.123,0.319
Di Gregorio,GK,Bournemouth,4.5,0.0,5.368,,,,,0.0
Button,GK,Ipswich,4.0,0.5,4.74,,,,,0.0
Kroupi.Jr,MID,Bournemouth,7.4,0.2,4.72,4.72,4.72,4.72,4.72,0.0
Gruev,MID,Leeds,5.0,0.0,4.698,4.698,4.698,4.698,4.698,0.0
Trafford,GK,Leeds,5.0,5.4,4.687,4.687,4.687,4.687,4.687,0.0
Cairney,MID,Fulham,5.0,0.0,4.607,4.955,5.25,5.45,5.675,1.068
Bakwa,MID,Nott'm Forest,5.5,0.0,4.6,4.6,4.6,4.6,4.6,0.0
Phillips,GK,Hull,4.0,1.5,4.592,,,,,0.0
Hutchinson,MID,Nott'm Forest,5.4,0.1,4.345,3.445,2.997,2.633,2.463,1.882
Doku,MID,Man City,7.4,0.8,4.236,4.203,4.195,4.31,4.332,0.136
C.Jones,MID,Liverpool,5.5,0.0,4.135,4.197,4.218,4.337,4.213,0.202
Ekitiké,FWD,Liverpool,7.4,0.1,3.939,3.939,3.939,3.939,3.939,0.0
Baleba,MID,Man United,5.0,0.1,3.913,3.429,3.023,2.801,2.627,1.287
P.M.Sarr,MID,Tottenham,4.9,0.1,3.798,4.101,4.218,4.251,4.338,0.54
Devenny,MID,Crystal Palace,5.0,0.0,3.79,4.213,4.596,4.793,5.109,1.318
Ugarte,MID,Man United,5.0,0.0,3.675,3.557,3.409,3.383,3.362,0.313
Woltemade,FWD,Newcastle,5.9,0.7,3.506,3.506,3.506,3.506,3.506,0.0
Richarlison,FWD,Tottenham,5.9,1.2,3.502,4.132,4.444,4.847,5.082,1.58
Reijnders,MID,Man City,6.0,0.0,3.481,3.481,3.481,3.481,3.481,0.0
Adingra,MID,Sunderland,4.9,0.0,3.45,4.041,4.336,4.655,4.861,1.411
Xavi,MID,Tottenham,6.0,0.0,3.268,3.268,3.268,3.268,3.268,0.0
B.Badiashile,DEF,Chelsea,4.5,0.0,3.256,3.196,3.204,3.095,3.088,0.168
Mateta,FWD,Crystal Palace,6.4,2.0,3.193,2.952,2.917,2.829,2.78,0.413
Amad,MID,Man United,5.8,0.4,3.139,3.075,2.981,3.095,3.053,0.158
Bradley,DEF,Liverpool,5.0,0.0,3.014,3.597,3.879,4.03,4.253,1.239
Mitoma,MID,Brighton,5.9,0.0,2.946,2.89,2.859,2.769,2.764,0.183
Bornauw,DEF,Leeds,4.5,0.0,2.785,2.785,2.785,2.785,2.785,0.0
Digne,DEF,Aston Villa,4.5,0.1,2.718,2.479,2.362,2.27,2.218,0.5
Jensen,MID,Brentford,5.5,0.1,2.7,3.082,3.441,3.704,3.893,1.194
Diarra,MID,Sunderland,5.4,0.0,2.29,2.29,2.29,2.29,2.29,0.0
Savona,DEF,Nott'm Forest,4.5,0.0,2.275,2.275,2.275,2.275,2.275,0.0
Joelinton,MID,Newcastle,5.4,0.0,2.222,1.868,1.653,1.457,1.39,0.832
Minteh,MID,Brighton,5.9,0.0,2.204,2.534,2.782,2.873,2.968,0.764
Rodrigo,MID,Man City,6.5,0.0,2.127,2.334,2.58,2.66,2.815,0.688
Sarr,MID,Crystal Palace,6.3,0.9,2.102,2.204,2.162,2.207,2.285,0.183
Morato,DEF,Nott'm Forest,5.0,0.0,2.083,2.796,3.197,3.491,3.722,1.639
Wieffer,DEF,Brighton,5.0,0.3,2.012,2.687,3.192,3.401,3.668,1.656
Spence,DEF,Tottenham,4.5,0.3,1.938,1.873,1.91,1.9,1.889,0.065
Onana,MID,Aston Villa,5.0,0.0,1.697,1.895,2.071,2.122,2.195,0.499
Watkins,FWD,Aston Villa,7.8,3.4,1.645,1.804,1.918,2.026,2.057,0.413
Milosavljević,DEF,Bournemouth,5.0,0.0,1.616,1.616,1.616,1.616,1.616,0.0
Chadi Riad,DEF,Crystal Palace,4.4,0.0,1.579,1.566,1.503,1.505,1.475,0.104
Burn,DEF,Newcastle,4.9,1.0,1.404,1.159,0.994,0.836,0.773,0.63
Romero,DEF,Tottenham,5.0,0.1,1.054,1.094,1.07,1.041,1.03,0.064
Chalobah,DEF,Chelsea,5.5,0.1,1.042,1.01,1.049,1.044,1.036,0.039
Gomes,MID,Aston Villa,5.5,0.0,1.005,0.873,0.812,0.86,0.784,0.222
Saliba,DEF,Arsenal,6.0,0.2,0.914,0.903,0.856,0.853,0.84,0.074
Jörgensen,GK,Chelsea,5.0,0.0,0.793,0.685,0.633,0.604,0.547,0.245
Rodon,DEF,Leeds,4.4,1.7,0.766,0.766,0.766,0.766,0.766,0.0
Van den Berg,DEF,Brentford,4.9,0.1,0.673,0.723,0.696,0.696,0.693,0.05
Sánchez,GK,Chelsea,4.9,1.1,0.334,0.297,0.286,0.287,0.275,0.059
De Ligt,DEF,Man United,5.0,0.0,0.333,1.039,1.303,1.488,1.647,1.314
Nwaneri,MID,Arsenal,5.4,0.0,0.32,,,,,0.0
Alleyne,DEF,Man City,5.0,0.0,0.313,,,,,0.0
Echeverri,MID,Man City,4.9,0.0,0.29,,,,,0.0
Sosa,DEF,Crystal Palace,4.5,0.0,0.273,,,,,0.0
Fábio Vieira,MID,Arsenal,5.5,0.0,0.273,,,,,0.0
Mukasa,MID,Man City,4.5,0.1,0.266,,,,,0.0
Aznou,DEF,Everton,4.0,0.1,0.266,,,,,0.0
Harrison,MID,Leeds,5.0,0.0,0.261,,,,,0.0
Nedeljkovic,DEF,Aston Villa,4.0,0.2,0.256,,,,,0.0
Hjelde,DEF,Sunderland,4.0,0.0,0.256,,,,,0.0
Madjo,FWD,Aston Villa,5.5,0.3,0.245,,,,,0.0
Collyer,MID,Man United,5.0,0.0,0.244,,,,,0.0
Esse,MID,Crystal Palace,5.0,0.0,0.241,,,,,0.0
A.Murphy,DEF,Newcastle,4.0,0.1,0.241,,,,,0.0
Ogbene,MID,Ipswich,4.9,0.0,0.241,,,,,0.0
Piroe,FWD,Leeds,5.0,0.1,0.237,,,,,0.0
Iling Jr,MID,Aston Villa,5.0,0.0,0.235,,,,,0.0
Nelson,MID,Arsenal,5.5,0.0,0.232,,,,,0.0
Elliott,MID,Liverpool,5.4,0.0,0.232,,,,,0.0
Enes Ünal,FWD,Bournemouth,5.5,0.0,0.231,,,,,0.0
Patterson,DEF,Everton,4.5,0.0,0.229,,,,,0.0
Bajcetic,MID,Liverpool,5.0,0.0,0.229,,,,,0.0
Monga,MID,Man City,4.9,0.0,0.227,,,,,0.0
Ramsay,DEF,Liverpool,4.0,0.1,0.226,,,,,0.0
Burns,MID,Ipswich,5.0,0.0,0.226,,,,,0.0
Kulusevski,MID,Tottenham,6.5,0.0,0.226,,,,,0.0
Leoni,DEF,Liverpool,4.0,0.0,0.226,,,,,0.0
Al-Hamadi,FWD,Ipswich,5.0,0.1,0.225,,,,,0.0
Szmodics,MID,Ipswich,5.0,0.0,0.225,,,,,0.0
Nørgaard,MID,Everton,4.9,0.1,0.225,,,,,0.0
Fredricson,DEF,Man United,4.0,0.0,0.224,,,,,0.0
Buonanotte,MID,Brighton,5.0,0.0,0.222,,,,,0.0
Mateo Joseph,FWD,Leeds,4.5,0.1,0.222,,,,,0.0
J.Araujo,DEF,Bournemouth,4.4,0.0,0.221,,,,,0.0
Bindon,DEF,Nott'm Forest,4.0,0.1,0.22,,,,,0.0
Millar,MID,Hull,5.0,0.0,0.219,,,,,0.0
Igor,DEF,Brighton,4.5,0.1,0.218,,,,,0.0
Souza,DEF,Tottenham,4.0,0.2,0.218,,,,,0.0
D.Essugo,MID,Chelsea,4.5,0.1,0.218,,,,,0.0
Marc Guiu,FWD,Chelsea,5.0,0.3,0.217,,,,,0.0
Manzambi,MID,Aston Villa,5.9,0.1,0.215,,,,,0.0
Seelt,DEF,Sunderland,4.5,0.0,0.214,,,,,0.0
Abbott,DEF,Nott'm Forest,4.0,0.2,0.213,,,,,0.0
Neave,FWD,Newcastle,4.5,0.7,0.211,,,,,0.0
Tzimas,FWD,Brighton,5.5,0.0,0.211,,,,,0.0
Watson,MID,Brighton,5.0,0.0,0.209,,,,,0.0
Moore,MID,Tottenham,5.0,0.1,0.209,,,,,0.0
Woolfenden,DEF,Coventry,4.0,0.1,0.209,,,,,0.0
Ferguson,FWD,Brighton,5.0,0.0,0.209,,,,,0.0
Zambrano,MID,Hull,4.5,0.1,0.207,,,,,0.0
Philogene,MID,Ipswich,5.4,0.1,0.207,,,,,0.0
Andrews,MID,Coventry,4.5,0.4,0.207,,,,,0.0
Dasilva,MID,Brentford,5.0,0.0,0.206,,,,,0.0
Wright,FWD,Coventry,5.4,0.1,0.204,,,,,0.0
Brau,DEF,Coventry,4.0,0.0,0.204,,,,,0.0
Matazo,MID,Hull,4.5,0.0,0.202,,,,,0.0
Gyabi,MID,Hull,4.5,0.0,0.202,,,,,0.0
Masuaku,DEF,Sunderland,4.0,0.2,0.201,,,,,0.0
Azeez,MID,Brighton,5.5,0.0,0.2,,,,,0.0
Lynch,MID,Aston Villa,4.5,0.1,0.198,,,,,0.0
Kitching,DEF,Coventry,4.0,0.5,0.198,,,,,0.0
Scarlett,FWD,Tottenham,4.5,1.5,0.197,,,,,0.0
Howell,MID,Brighton,4.5,0.0,0.197,,,,,0.0
Cardines,DEF,Crystal Palace,4.5,0.0,0.193,,,,,0.0
Matusiwa,MID,Ipswich,4.9,0.0,0.192,,,,,0.0
Bayindir,GK,Man United,4.5,0.0,0.192,0.182,0.181,0.191,0.204,0.023
Burstow,FWD,Hull,4.5,0.0,0.191,,,,,0.0
M.Sarr,DEF,Chelsea,4.5,0.0,0.191,,,,,0.0
Kesler-Hayden,DEF,Coventry,4.0,0.0,0.19,,,,,0.0
Borges Rodrigues,MID,Coventry,4.5,0.1,0.189,,,,,0.0
Milambo,MID,Brentford,5.0,0.0,0.187,,,,,0.0
Cozier-Duberry,MID,Brighton,5.0,0.0,0.184,,,,,0.0
Dasilva,DEF,Coventry,4.0,0.7,0.182,,,,,0.0
Destan,FWD,Hull,4.5,0.2,0.177,,,,,0.0
Markelo,FWD,Coventry,5.0,0.0,0.177,,,,,0.0
Uche,FWD,Crystal Palace,5.0,0.0,0.176,,,,,0.0
Jaros,GK,Liverpool,4.0,0.0,0.175,,,,,0.0
Bassette,FWD,Coventry,4.5,0.0,0.174,,,,,0.0
Taylor,MID,Ipswich,4.5,0.0,0.17,,,,,0.0
Patterson,GK,Sunderland,4.0,0.1,0.168,,,,,0.0
Hirst,FWD,Ipswich,5.0,0.1,0.166,,,,,0.0
Pecsi,GK,Liverpool,4.0,0.0,0.166,,,,,0.0
Jacob,DEF,Hull,4.0,0.0,0.165,,,,,0.0
Heaton,GK,Man United,4.0,0.1,0.164,,,,,0.0
Dennis,GK,Bournemouth,4.0,0.1,0.158,,,,,0.0
Drameh,DEF,Hull,4.0,0.1,0.156,,,,,0.0
Humphreys,MID,Ipswich,4.5,0.0,0.151,,,,,0.0
Perri,GK,Leeds,4.5,0.4,0.147,0.147,0.147,0.147,0.147,0.0
McNally,GK,Fulham,4.0,0.1,0.146,,,,,0.0
Vicario,GK,Tottenham,4.5,0.2,0.135,0.14,0.13,0.13,0.14,0.01
Dovin,GK,Coventry,4.0,1.2,0.129,,,,,0.0
Van Oevelen,GK,Ipswich,4.5,0.0,0.108,,,,,0.0
Cartwright,GK,Hull,4.0,0.0,0.104,,,,,0.0
Butland,GK,Hull,4.5,0.1,0.095,,,,,0.0
Lo-Tutala,GK,Hull,4.0,0.0,0.084,,,,,0.0
