player,pos,team,cost,own,0.0,0.25,0.5,0.75,1.0,range
Ballard,DEF,Sunderland,4.9,3.6,20.235,20.235,20.235,20.235,20.235,0.0
Hincapie,DEF,Arsenal,5.3,1.1,20.214,20.214,20.214,20.214,20.214,0.0
Rashford,MID,Man United,7.0,1.6,20.212,,,,,0.0
Vuskovic,DEF,Brighton,5.0,2.9,20.149,,,,,0.0
Mitchell,DEF,Crystal Palace,4.5,5.6,20.131,20.632,20.704,20.766,21.217,1.086
Cash,DEF,Aston Villa,4.5,6.8,20.066,19.616,19.315,19.124,18.983,1.083
Kayode,DEF,Brentford,4.6,9.1,20.048,19.323,18.784,18.348,18.274,1.775
Aina,DEF,Nott'm Forest,4.5,2.8,19.865,20.612,20.77,20.959,20.939,1.094
Araujo,DEF,Liverpool,5.4,2.3,19.8,,,,,0.0
Stach,MID,Leeds,6.0,2.8,19.772,19.772,19.772,19.772,19.772,0.0
Evanilson,FWD,Bournemouth,6.0,3.3,19.753,20.393,21.078,21.352,21.592,1.839
Dedić,DEF,Newcastle,4.5,3.6,19.702,,,,,0.0
Jacquet,DEF,Liverpool,5.0,2.7,19.7,,,,,0.0
Rayan,MID,Bournemouth,6.4,2.0,19.622,19.622,19.622,19.622,19.622,0.0
Schär,DEF,Newcastle,5.0,0.2,19.469,21.671,23.432,24.248,25.034,5.565
Grealish,MID,Everton,6.5,0.4,19.459,17.967,17.158,16.163,15.587,3.872
Sessegnon,DEF,Fulham,4.5,0.3,19.396,18.807,18.14,17.791,17.772,1.623
Tielemans,MID,Man United,5.9,1.8,19.297,20.441,20.881,21.148,21.504,2.207
Donnarumma,GK,Man City,5.5,7.8,19.276,19.276,19.276,19.276,19.276,0.0
Diouf,DEF,Brentford,4.5,0.1,19.198,19.198,19.198,19.198,19.198,0.0
Xhaka,MID,Sunderland,5.5,4.4,19.147,19.147,19.147,19.147,19.147,0.0
Fernandes,MID,Tottenham,5.9,1.0,19.07,19.228,19.517,19.691,19.828,0.758
Gyökeres,FWD,Arsenal,7.3,4.1,19.015,19.015,19.015,19.015,19.015,0.0
Šeško,FWD,Man United,7.0,1.6,18.95,18.95,18.95,18.95,18.95,0.0
E.Le Fée,MID,Sunderland,5.9,5.1,18.913,18.913,18.913,18.913,18.913,0.0
Hill,DEF,Bournemouth,5.5,0.8,18.709,18.343,18.013,17.898,17.532,1.177
Wharton,MID,Crystal Palace,5.5,0.9,18.666,18.418,18.194,17.771,17.606,1.06
Pedro Porro,DEF,Tottenham,5.5,11.4,18.621,18.838,19.207,19.13,19.101,0.586
Bogle,DEF,Leeds,4.5,1.4,18.612,18.612,18.612,18.612,18.612,0.0
Bijol,DEF,Leeds,5.0,0.9,18.553,18.553,18.553,18.553,18.553,0.0
Garner,MID,Everton,6.0,0.1,18.495,18.074,17.703,17.499,17.311,1.184
Muharemović,DEF,Leeds,5.0,3.4,18.383,,,,,0.0
Welbeck,FWD,Chelsea,5.9,0.8,18.297,18.807,18.989,19.415,19.305,1.118
Zubimendi,MID,Arsenal,5.4,0.7,18.261,18.261,18.261,18.261,18.261,0.0
Wilson,MID,Leeds,6.4,3.3,18.169,17.353,16.975,16.63,16.241,1.928
Van de Ven,DEF,Tottenham,5.0,3.8,18.145,18.125,18.139,18.007,17.98,0.165
Eze,MID,Arsenal,6.4,1.3,18.015,19.348,20.634,21.389,22.158,4.143
Hall,DEF,Newcastle,5.1,11.7,17.972,18.481,18.652,18.988,19.095,1.124
Anthony,MID,Brentford,6.0,0.1,17.897,17.897,17.897,17.897,17.897,0.0
Gravenberch,MID,Liverpool,5.9,1.4,17.886,17.94,18.059,18.219,18.333,0.447
Iwobi,MID,Fulham,5.5,0.8,17.878,18.519,18.786,18.98,19.13,1.252
Mings,DEF,Aston Villa,4.5,0.4,17.826,18.172,18.399,18.968,19.059,1.233
Canvot,DEF,Crystal Palace,4.9,0.2,17.713,17.713,17.713,17.713,17.713,0.0
Fofana,DEF,Chelsea,5.0,0.1,17.699,18.248,18.659,19.163,19.629,1.93
Damsgaard,MID,Brentford,5.5,0.5,17.683,18.332,18.782,19.535,19.793,2.11
Tete,DEF,Fulham,4.5,0.2,17.637,17.992,18.729,19.227,19.021,1.589
McGinn,MID,Aston Villa,5.4,2.3,17.567,17.128,17.014,16.916,16.727,0.84
Kudus,MID,Tottenham,6.5,0.1,17.357,18.587,18.961,19.658,20.038,2.682
I.Sangaré,MID,Nott'm Forest,4.9,0.6,17.353,16.689,15.815,15.299,15.009,2.344
Gudmundsson,DEF,Leeds,4.5,0.1,17.352,17.352,17.352,17.352,17.352,0.0
Lammens,GK,Man United,5.0,12.4,17.308,17.308,17.308,17.308,17.308,0.0
Gomez,MID,Brighton,5.0,4.9,17.26,16.57,15.849,15.339,14.988,2.272
Hume,DEF,Sunderland,4.5,4.6,17.143,17.143,17.143,17.143,17.143,0.0
Havertz,FWD,Arsenal,7.5,7.5,17.122,19.225,21.326,22.544,23.112,5.99
Reinildo,DEF,Sunderland,4.5,0.4,17.115,17.115,17.115,17.115,17.115,0.0
Pickford,GK,Everton,5.5,8.6,16.987,17.316,17.453,17.623,17.677,0.69
Verbruggen,GK,Brighton,4.5,22.2,16.946,16.867,17.078,17.108,17.377,0.51
Merino,MID,Arsenal,5.9,0.5,16.939,17.842,18.361,18.693,19.266,2.327
Danso,DEF,Sunderland,5.0,0.2,16.815,17.3,17.742,18.178,18.494,1.679
Branthwaite,DEF,Everton,5.5,1.9,16.76,18.97,20.157,20.978,21.416,4.656
Wan-Bissaka,DEF,Aston Villa,4.5,0.2,16.72,17.989,19.057,19.724,20.144,3.424
Colwill,DEF,Chelsea,4.9,1.2,16.71,,,,,0.0
Disasi,DEF,Crystal Palace,4.5,0.1,16.708,16.103,15.923,15.52,15.272,1.436
Khusanov,DEF,Man City,5.5,1.6,16.702,16.635,16.948,16.977,17.134,0.499
Barnes,MID,Newcastle,6.0,1.9,16.678,17.67,18.062,18.268,18.638,1.96
A.García,DEF,Aston Villa,4.0,1.7,16.601,,,,,0.0
Bentancur,MID,Tottenham,5.5,0.2,16.545,16.418,16.339,16.176,15.972,0.573
Darlow,GK,Man United,4.5,0.0,16.512,16.512,16.512,16.512,16.512,0.0
