k,estimator,n,mae_raw,mae,diff,lo,hi,verdict
5,level,157,0.4382787065070939,0.49048013420139125,0.05197654807985877,0.02631976970054192,0.07763332645917562,WORSE
5,close,157,0.4382787065070939,0.44929211498609295,0.00819235566196573,-0.015100821514047305,0.031485532837978766,no difference
8,level,236,0.3972868971777558,0.5169538847177024,0.11969460126592128,0.08855200434798806,0.1508371981838545,WORSE
8,close,236,0.3972868971777558,0.4287811839321414,0.030917822356555835,0.010852397326164543,0.05098324738694712,WORSE
12,level,240,0.3981899186981515,0.4819225825857774,0.08373266388762585,0.05494675380791501,0.1125185739673367,WORSE
12,close,240,0.3981899186981515,0.41848414567944564,0.020294226981294072,-0.002760506897267003,0.04334896085985515,no difference
19,level,240,0.3884800917738433,0.4783299343264932,0.08984984255264988,0.050623289723902044,0.12907639538139773,WORSE
19,close,240,0.3884800917738433,0.4187714676432807,0.030291375869437438,0.012755162709400084,0.04782758902947479,WORSE
