arch,resid_early,resid_rest,gap,ci_lo,ci_hi
prior top-6,0.024044122442248673,-0.03687985740422133,0.06092397984647001,-0.04201157749873346,0.1546871773472431
prior 7-12,-0.06446821788341398,0.004151717537539714,-0.0686199354209537,-0.1385327665953082,0.001255283718667286
prior 13-20,-0.02811627506999645,0.0027238151539756583,-0.03084009022397211,-0.10504021011887142,0.039653927624981995
promoted,-0.034710909989264384,0.012486075714847713,-0.0471969857041121,-0.14178255508555712,0.05101924363766224
