side,b_full,se_full,z_full,p10_p90,b_recent,se_recent,score_z_mkt,glm_z_mkt,R1,R2,R3,R4,verdict
traveller GA,0.03229150058043579,0.006991797797269052,4.61848318797901,0.08447018559184279,0.031531061276597876,0.01108480929165581,1.728970782594581,1.748089992773116,True,True,False,True,OFF BY DEFAULT (priced by market)
traveller GF,-0.009556476123121103,0.008397202340227776,-1.138054763470411,-0.024998445325056483,0.012793453581534536,0.01436064778525115,-0.37020953107577165,-0.36877372358064786,True,False,False,False,NULL
