k,n,folds,w_fitted,w_loso_mean,rmse_w0,rmse_w,gain,n_positive,endpoint,verdict
1,773,3,0.18,0.18000000000000002,6.783381493734532,6.41344454751441,0.05453577195412258,3,minutes_per_start,SHIP
2,754,3,0.24,0.24333333333333332,6.751479620315231,6.266272009172656,0.07186685562711068,3,minutes_per_start,SHIP
3,734,3,0.32,0.32,6.527469683457008,5.9053836664754575,0.09530278149864777,3,minutes_per_start,SHIP
5,704,3,0.4,0.39666666666666667,6.402535092402213,5.608678122835462,0.1239910376295803,3,minutes_per_start,SHIP
8,642,3,0.54,0.5433333333333333,6.7211920680377135,5.6815233968661,0.15468516010957412,3,minutes_per_start,SHIP
10,598,3,0.63,0.63,6.587447242050065,5.340915123347122,0.18922840258148513,3,minutes_per_start,SHIP
