scope,kappa,endpoint,lam,hold,brier,base,gain,n
grid,inf,next,0.05,ALL,0.1556736440702564,0.16120800956579417,0.03433058636754032,8066
grid,inf,next,0.1,ALL,0.15575672434630095,0.16120800956579417,0.03381522564651718,8066
grid,inf,next,0.15,ALL,0.15586033547966652,0.16120800956579417,0.03317250861499595,8066
grid,inf,next,0.2,ALL,0.1559844654525818,0.16120800956579417,0.03240250982120391,8066
grid,inf,next,0.25,ALL,0.15612941715553588,0.16120800956579417,0.031503350385239735,8066
grid,inf,next,0.3,ALL,0.156295762046589,0.16120800956579417,0.03047148545804941,8066
grid,inf,next,0.35,ALL,0.1564843093265484,0.16120800956579417,0.029301895432918258,8066
grid,inf,next,0.4,ALL,0.1566960856904864,0.16120800956579417,0.027988211550160666,8066
grid,inf,next,0.45,ALL,0.1569323165545281,0.16120800956579417,0.02652283235046718,8066
grid,inf,next,0.5,ALL,0.15719439226489965,0.16120800956579417,0.02489713328577785,8066
grid,inf,next,0.6,ALL,0.15780192298986023,0.16120800956579417,0.02112851951406179,8066
grid,inf,next,0.7,ALL,0.15852775680660172,0.16120800956579417,0.016626052057906935,8066
grid,inf,next,0.75,ALL,0.15893451274472428,0.16120800956579417,0.014102877562929063,8066
grid,inf,next,0.8,ALL,0.1593668854159437,0.16120800956579417,0.011420798227144185,8066
grid,inf,next,0.85,ALL,0.15981920529215596,0.16120800956579417,0.008614983072980632,8066
grid,inf,next,0.9,ALL,0.1602834117922815,0.16120800956579417,0.00573543322073778,8066
grid,inf,next,0.95,ALL,0.16074975237360611,0.16120800956579417,0.00284264530914037,8066
grid,inf,next,1.0,ALL,0.16120800956579417,0.16120800956579417,0.0,8066
loso,inf,next,0.05,2022-23,0.1843908342914006,0.1849538154874626,0.0030439014982102533,1846
loso,inf,next,0.05,2023-24,0.1425241281057672,0.15092951039071736,0.05569078083663565,2060
loso,inf,next,0.05,2024-25,0.14916715854627693,0.1555234903836092,0.04087055802087473,2038
loso,inf,next,0.05,2025-26,0.14970582467180488,0.15598840573099265,0.04027594890624308,2122
verdict,inf,next,0.05,ADOPT,,,0.03497029731549093,4
grid,inf,rest,0.05,ALL,0.17762697189687546,0.17815863732381726,0.0029842248174331196,8066
grid,inf,rest,0.1,ALL,0.17754680147821333,0.17815863732381726,0.003434219383323334,8066
grid,inf,rest,0.15,ALL,0.17747818295653017,0.17815863732381726,0.0038193734387982976,8066
grid,inf,rest,0.2,ALL,0.1774201129679866,0.17815863732381726,0.004145318840131983,8066
grid,inf,rest,0.25,ALL,0.17737183745480928,0.17815863732381726,0.004416288094850608,8066
grid,inf,rest,0.3,ALL,0.17733284528054663,0.17815863732381726,0.004635150199143515,8066
grid,inf,rest,0.35,ALL,0.177302875840048,0.17815863732381726,0.004803367923239354,8066
grid,inf,rest,0.4,ALL,0.17728194046715823,0.17815863732381726,0.004920877650548969,8066
grid,inf,rest,0.45,ALL,0.17727035752559892,0.17815863732381726,0.004985892413421564,8066
grid,inf,rest,0.5,ALL,0.17726879984010666,0.17815863732381726,0.004994635663345665,8066
grid,inf,rest,0.6,ALL,0.177300542829544,0.17815863732381726,0.004816463053169917,8066
grid,inf,rest,0.7,ALL,0.17739125706627054,0.17815863732381726,0.0043072862987380426,8066
grid,inf,rest,0.75,ALL,0.1774646944149953,0.17815863732381726,0.0038950842869361958,8066
grid,inf,rest,0.8,ALL,0.17755992091571282,0.17815863732381726,0.0033605803069554486,8066
grid,inf,rest,0.85,ALL,0.17767822323087232,0.17815863732381726,0.0026965523544713226,8066
grid,inf,rest,0.9,ALL,0.17781929445155797,0.17815863732381726,0.0019047231015945796,8066
grid,inf,rest,0.95,ALL,0.17798083325287856,0.17815863732381726,0.0009980098276994012,8066
grid,inf,rest,1.0,ALL,0.17815863732381726,0.17815863732381726,0.0,8066
loso,inf,rest,0.5,2022-23,0.1912648348565286,0.19139357340652494,0.0006726377887459122,1846
loso,inf,rest,0.6,2023-24,0.17226349050155762,0.17415137309366224,0.010840469176716052,2060
loso,inf,rest,0.45,2024-25,0.17816646407011785,0.17892589697027858,0.0042443990110994255,2038
loso,inf,rest,0.4,2025-26,0.1694551941604126,0.16982372053733727,0.0021700524270615203,2122
verdict,inf,rest,0.475,null,,,0.004481889600905727,4
grid,4,next,0.05,ALL,0.09193223068716216,0.0980535708054929,0.0624285282835189,8066
grid,4,next,0.1,ALL,0.09110491179478115,0.0980535708054929,0.07086594556046996,8066
grid,4,next,0.15,ALL,0.09043226533674752,0.0980535708054929,0.0777259349775607,8066
grid,4,next,0.2,ALL,0.08990317074007682,0.0980535708054929,0.08312190977301458,8066
grid,4,next,0.25,ALL,0.08950888303389488,0.0980535708054929,0.08714305559098873,8066
grid,4,next,0.3,ALL,0.08924263344054617,0.0980535708054929,0.08985840385583538,8066
grid,4,next,0.35,ALL,0.08909930508648915,0.0980535708054929,0.09132013903671253,8066
grid,4,next,0.4,ALL,0.08907519776710919,0.0980535708054929,0.09156599769521853,8066
grid,4,next,0.45,ALL,0.08916789366953765,0.0980535708054929,0.09062063791212267,8066
grid,4,next,0.5,ALL,0.08937622128520767,0.0980535708054929,0.08849600732540719,8066
grid,4,next,0.6,ALL,0.09014150753411879,0.0980535708054929,0.08069123037924984,8066
grid,4,next,0.7,ALL,0.09138689617428895,0.0980535708054929,0.06799012597336725,8066
grid,4,next,0.75,ALL,0.09219820188317247,0.0980535708054929,0.05971601925579659,8066
grid,4,next,0.8,ALL,0.09313858795675667,0.0980535708054929,0.0501254855724326,8066
grid,4,next,0.85,ALL,0.09420644689761784,0.0980535708054929,0.03923491899654048,8066
grid,4,next,0.9,ALL,0.09539379826186646,0.0980535708054929,0.027125708138692705,8066
grid,4,next,0.95,ALL,0.0966843635523639,0.0980535708054929,0.013963869361219622,8066
grid,4,next,1.0,ALL,0.0980535708054929,0.0980535708054929,0.0,8066
loso,4,next,0.4,2022-23,0.046877678138801705,0.047530358345892386,0.01373185959047342,1846
loso,4,next,0.4,2023-24,0.09567324478750924,0.11060900226360468,0.13503202425151944,2060
loso,4,next,0.35,2024-25,0.10759616797530194,0.11712820783859801,0.08138124913881685,2038
loso,4,next,0.4,2025-26,0.10180131707044109,0.11149728010014137,0.08696143099627048,2122
verdict,4,next,0.4,ADOPT,,,0.07927664099427004,4
grid,4,rest,0.05,ALL,0.17556621365953717,0.16456951506271694,-0.06682099411078304,8066
grid,4,rest,0.1,ALL,0.1741632922159876,0.16456951506271694,-0.058296198719516704,8066
grid,4,rest,0.15,ALL,0.17287919550951023,0.16456951506271694,-0.050493437035568155,8066
grid,4,rest,0.2,ALL,0.17170073836239763,0.16456951506271694,-0.043332589860053984,8066
grid,4,rest,0.25,ALL,0.17061687471103648,0.16456951506271694,-0.036746536234337865,8066
grid,4,rest,0.3,ALL,0.16961851295625743,0.16456951506271694,-0.030680031423902132,8066
grid,4,rest,0.35,ALL,0.1686983779634073,0.16456951506271694,-0.025088868367369677,8066
grid,4,rest,0.4,ALL,0.1678509476180758,0.16456951506271694,-0.019939492159944245,8066
grid,4,rest,0.45,ALL,0.16707250248385325,0.16456951506271694,-0.015209301796766089,8066
grid,4,rest,0.5,ALL,0.16636132707589538,0.16456951506271694,-0.010887873203585611,8066
grid,4,rest,0.6,ALL,0.1651463729490113,0.16456951506271694,-0.003505253607112585,8066
grid,4,rest,0.7,ALL,0.16425015951120006,0.16456951506271694,0.0019405510880625473,8066
grid,4,rest,0.75,ALL,0.16395206806265075,0.16456951506271694,0.003751891714761893,8066
grid,4,rest,0.8,ALL,0.16377703611245892,0.16456951506271694,0.004815466278526815,8066
grid,4,rest,0.85,ALL,0.16374289584175236,0.16456951506271694,0.005022918252202168,8066
grid,4,rest,0.9,ALL,0.16386289654692887,0.16456951506271694,0.004293738822276902,8066
grid,4,rest,0.95,ALL,0.1641410829848397,0.16456951506271694,0.002603350187390202,8066
grid,4,rest,1.0,ALL,0.16456951506271694,0.16456951506271694,0.0,8066
loso,4,rest,0.85,2022-23,0.19171636209556453,0.19179746093305883,0.00042283582431053626,1846
loso,4,rest,0.9,2023-24,0.16232337949517606,0.16409111649271105,0.010772898834005522,2060
loso,4,rest,0.8,2024-25,0.15966902501263314,0.16012207012431154,0.0028293733107914356,2038
loso,4,rest,0.8,2025-26,0.14582312228796054,0.14568094699893755,-0.0009759360571978657,2122
verdict,4,rest,0.825,null,,,0.003262292977977407,3
horizon,inf,h1,0.05,LOSO,,,0.03497029731549093,4
horizon,inf,h2,0.05,LOSO,,,0.028593110424239888,4
horizon,inf,h3,0.05,LOSO,,,0.02348818853409059,4
horizon,inf,h5,0.15,LOSO,,,0.016996498658876483,4
horizon,inf,h10,0.275,LOSO,,,0.010300192953483674,4
