Date,Time,HomeTeam,AwayTeam,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5,MaxH,MaxD,MaxA,Max>2.5,Max<2.5,B365H,B365D,B365A,B365>2.5,B365<2.5
12/09/2026,15:00,Aston Villa,Nott'm Forest,2.22,3.39,3.17,1.89,1.83,2.3,3.5,3.25,1.98,1.88,2.2,3.4,3.25,1.98,1.88
12/09/2026,15:00,Bournemouth,Brentford,2.45,3.58,2.68,1.67,2.2,2.5,3.75,2.8,2.5,2.3,2.5,3.6,2.7,1.62,2.3
12/09/2026,15:00,Chelsea,Hull,1.21,6.5,11.92,1.39,2.83,1.23,7.0,13.0,1.42,3.0,1.22,6.5,11.0,1.4,3.0
13/09/2026,14:00,Coventry,Brighton,3.91,3.73,1.85,1.72,2.03,4.1,3.9,1.9,1.75,2.1,3.8,3.9,1.9,1.73,2.1
12/09/2026,15:00,Crystal Palace,Ipswich,1.84,3.74,3.98,1.76,1.99,1.89,3.9,4.1,1.83,2.1,1.85,3.8,3.9,1.8,2.0
14/09/2026,20:00,Leeds,Newcastle,2.38,3.45,2.81,1.75,2.0,2.5,3.6,2.88,1.8,2.05,2.38,3.5,2.88,1.8,2.0
12/09/2026,15:00,Liverpool,Fulham,1.44,4.85,6.37,1.5,2.59,1.46,5.0,7.2,2.2,2.75,1.42,5.0,6.25,1.44,2.75
13/09/2026,16:30,Man United,Man City,3.08,3.78,2.1,1.5,2.49,3.25,4.0,2.15,1.55,2.55,3.25,3.8,2.1,1.53,2.5
12/09/2026,20:00,Sunderland,Arsenal,7.36,4.12,1.46,2.02,1.74,8.0,4.3,1.49,2.1,1.78,7.5,4.1,1.48,2.1,1.73
12/09/2026,17:30,Tottenham,Everton,2.02,3.53,3.55,1.9,1.84,2.05,3.6,3.75,2.38,1.91,2.0,3.6,3.6,1.91,1.91
