player,pos,team,cost,own,gw,mean,solio,blended,src,sd,defcon_ev,cs_ev,p5,median,p95
Haaland,FWD,Man City,15.5,74.4,1,7.539,6.61,7.074,blend(w_ours=0.5),6.182,0.0,0.0,0.0,7.353,18.06
Mbeumo,MID,Man United,8.0,20.2,1,6.866,6.64,6.753,blend(w_ours=0.5),5.802,0.0,0.394,0.0,5.627,18.344
B.Fernandes,MID,Man United,12.0,48.6,1,6.696,6.8,6.748,blend(w_ours=0.5),5.555,0.021,0.394,0.0,5.627,16.612
Saka,MID,Arsenal,9.5,10.8,1,5.762,,5.762,model,5.84,0.023,0.392,0.0,3.0,16.612
Gabriel,DEF,Arsenal,8.0,26.5,1,5.629,6.0,5.815,blend(w_ours=0.5),4.23,0.303,2.198,0.0,6.358,13.254
Cunha,MID,Man United,8.0,13.6,1,5.0,,5.0,model,5.001,0.008,0.336,0.0,3.0,14.717
Semenyo,MID,Man City,8.5,23.2,1,4.851,5.3,5.075,blend(w_ours=0.5),4.479,0.006,0.305,0.0,3.0,14.717
O'Reilly,DEF,Man City,6.5,22.5,1,4.68,,4.68,model,4.731,0.075,1.222,0.0,2.0,13.254
Palmer,MID,Chelsea,9.5,11.7,1,4.583,5.18,4.881,blend(w_ours=0.5),4.65,0.0,0.23,0.0,2.0,14.717
Thiago,FWD,Brentford,8.0,16.1,1,4.467,4.69,4.579,blend(w_ours=0.5),4.38,0.022,0.0,0.0,2.0,12.707
Guéhi,DEF,Man City,6.0,23.5,1,4.451,,4.451,model,3.942,0.08,1.477,0.0,2.0,13.254
Calafiori,DEF,Arsenal,5.5,16.8,1,4.45,4.52,4.485,blend(w_ours=0.5),4.499,0.093,1.679,0.0,2.0,13.254
Rice,MID,Arsenal,7.5,22.4,1,4.427,,4.427,model,3.71,0.119,0.507,0.0,3.0,11.985
Szoboszlai,MID,Liverpool,7.0,46.5,1,4.361,4.73,4.546,blend(w_ours=0.5),3.942,0.053,0.221,0.0,2.0,11.985
Amad,MID,Man United,6.0,1.6,1,4.293,,4.293,model,4.937,0.013,0.289,0.0,2.0,14.717
Mukiele,DEF,Sunderland,5.5,7.5,1,4.265,,4.265,model,3.433,0.738,1.428,0.0,4.0,9.985
Shaw,DEF,Man United,4.5,24.5,1,4.196,,4.196,model,3.436,0.281,1.675,0.0,3.0,9.985
Raya,GK,Arsenal,6.0,31.0,1,4.194,4.56,4.377,blend(w_ours=0.5),2.538,0.0,2.342,1.0,5.51,6.51
Dalot,DEF,Man United,5.0,3.0,1,4.186,4.5,4.343,blend(w_ours=0.5),3.983,0.041,1.469,0.0,2.0,12.254
Enzo,MID,Chelsea,7.0,5.5,1,4.132,,4.132,model,3.889,0.012,0.256,0.0,2.0,11.985
Cherki,MID,Man City,7.5,9.2,1,4.094,,4.094,model,4.704,0.043,0.212,0.0,2.0,13.985
Foden,MID,Man City,7.0,7.3,1,4.071,,4.071,model,4.605,0.007,0.228,0.0,2.0,14.717
Tzolis,MID,Arsenal,6.5,2.3,1,4.069,4.65,4.36,blend(w_ours=0.5),5.638,0.261,0.399,0.0,3.0,15.717
Eze,MID,Arsenal,6.5,3.2,1,4.042,,4.042,model,4.792,0.001,0.359,0.0,2.0,14.717
Isak,FWD,Liverpool,9.0,11.4,1,4.035,5.07,4.553,blend(w_ours=0.5),4.413,0.0,0.0,0.0,2.0,12.707
Hincapie,DEF,Arsenal,5.5,4.2,1,4.026,,4.026,model,3.858,0.455,1.607,0.0,3.0,10.031
Gvardiol,DEF,Man City,5.5,12.6,1,3.962,,3.962,model,3.953,0.004,1.22,0.0,2.0,12.254
Havertz,FWD,Arsenal,7.5,3.8,1,3.946,4.52,4.233,blend(w_ours=0.5),4.912,0.0,0.0,0.0,2.0,12.707
Wirtz,MID,Liverpool,7.5,12.6,1,3.883,4.58,4.232,blend(w_ours=0.5),4.111,0.052,0.196,0.0,2.0,11.985
Rogers,MID,Chelsea,7.5,28.8,1,3.87,,3.87,model,3.4,0.007,0.268,0.0,2.0,9.358
Ballard,DEF,Sunderland,5.0,3.8,1,3.868,,3.868,model,3.579,0.873,1.162,0.0,3.0,9.896
Mosquera,DEF,Arsenal,5.5,15.7,1,3.816,5.54,4.678,blend(w_ours=0.5),3.718,0.499,1.492,0.0,2.0,8.896
Senesi,DEF,Tottenham,6.0,10.6,1,3.802,,3.802,model,3.1,1.104,0.798,0.0,3.0,8.896
Gibbs-White,MID,Nott'm Forest,8.0,11.6,1,3.799,5.36,4.58,blend(w_ours=0.5),3.572,0.003,0.259,0.0,2.0,9.358
Gyökeres,FWD,Arsenal,7.5,13.1,1,3.795,,3.795,model,4.299,0.0,0.0,0.0,2.0,12.707
João Pedro,FWD,Chelsea,7.5,54.9,1,3.782,4.8,4.291,blend(w_ours=0.5),3.902,0.0,0.0,0.0,2.0,12.707
Maguire,DEF,Man United,5.0,8.7,1,3.761,,3.761,model,3.744,0.116,1.434,0.0,2.0,10.896
Alderete,DEF,Sunderland,5.0,1.1,1,3.737,,3.737,model,3.478,0.789,1.236,0.0,3.0,8.896
Tarkowski,DEF,Everton,6.0,9.9,1,3.737,4.69,4.213,blend(w_ours=0.5),3.071,0.285,1.347,0.0,2.0,8.896
Ndiaye,MID,Everton,6.0,15.9,1,3.73,4.8,4.265,blend(w_ours=0.5),3.407,0.05,0.298,0.0,2.0,9.358
Schade,MID,Brentford,6.0,2.1,1,3.722,,3.722,model,4.169,0.004,0.217,0.0,2.0,11.985
Lacroix,DEF,Chelsea,6.0,11.7,1,3.701,,3.701,model,3.181,0.486,1.155,0.0,2.0,8.896
Virgil,DEF,Liverpool,6.5,16.5,1,3.671,,3.671,model,3.27,0.491,0.984,0.0,2.0,8.9
Anderson,MID,Man City,6.5,12.0,1,3.597,,3.597,model,2.832,0.419,0.305,0.0,3.0,9.358
Gakpo,MID,Liverpool,7.0,3.4,1,3.551,4.35,3.95,blend(w_ours=0.5),3.922,0.0,0.182,0.0,2.0,11.985
Lammens,GK,Man United,5.0,20.2,1,3.55,,3.55,model,2.556,0.0,1.834,0.0,2.0,6.51
Groß,MID,Brighton,5.5,9.3,1,3.53,4.53,4.03,blend(w_ours=0.5),3.431,0.005,0.251,0.0,2.0,9.358
E.Le Fée,MID,Sunderland,6.0,12.8,1,3.482,4.42,3.951,blend(w_ours=0.5),2.914,0.409,0.321,0.0,3.0,9.358
Keane,DEF,Everton,5.0,1.6,1,3.427,,3.427,model,3.333,0.517,1.164,0.0,2.0,8.896
Rashford,MID,Man United,7.0,1.4,1,3.415,,3.415,model,4.722,0.0,0.221,0.0,2.0,12.985
Bruno G.,MID,Newcastle,7.0,10.0,1,3.385,,3.385,model,3.029,0.005,0.192,0.0,2.0,9.259
Watkins,FWD,Aston Villa,8.0,12.7,1,3.385,4.39,3.887,blend(w_ours=0.5),3.515,0.0,0.0,0.0,2.0,10.98
Thiaw,DEF,Newcastle,5.0,2.0,1,3.382,,3.382,model,3.459,0.739,0.67,0.0,2.0,9.896
Ødegaard,MID,Arsenal,6.5,2.9,1,3.378,,3.378,model,3.907,0.003,0.332,0.0,2.0,11.985
O.Dango,MID,Brentford,6.5,1.4,1,3.376,4.29,3.833,blend(w_ours=0.5),3.99,0.008,0.184,0.0,2.0,11.985
Doku,MID,Man City,7.5,6.4,1,3.357,,3.357,model,3.737,0.006,0.23,0.0,2.0,10.254
Xhaka,MID,Sunderland,5.5,5.6,1,3.352,,3.352,model,2.662,0.617,0.309,0.0,3.0,8.627
Calvert-Lewin,FWD,Leeds,6.0,24.1,1,3.321,,3.321,model,3.499,0.0,0.0,0.0,2.0,10.98
Muñoz,DEF,Crystal Palace,5.5,11.6,1,3.307,,3.307,model,3.243,0.025,1.063,0.0,2.0,8.896
Hume,DEF,Sunderland,4.5,2.9,1,3.299,,3.299,model,3.232,0.205,1.209,0.0,2.0,8.896
Ampadu,MID,Leeds,5.5,1.6,1,3.296,,3.296,model,2.589,0.798,0.226,0.0,3.0,8.358
Sarr,MID,Crystal Palace,6.5,8.8,1,3.279,,3.279,model,3.556,0.001,0.24,0.0,2.0,9.358
Matheus N.,DEF,Man City,6.0,4.8,1,3.276,,3.276,model,3.233,0.045,1.19,0.0,2.0,9.254
Collins,DEF,Brentford,5.5,2.0,1,3.248,,3.248,model,3.191,0.215,1.071,0.0,2.0,8.896
Mateta,FWD,Crystal Palace,6.5,6.8,1,3.246,,3.246,model,3.735,0.0,0.0,0.0,2.0,12.707
Palestra,DEF,Chelsea,5.5,1.8,1,3.229,,3.229,model,3.793,0.506,0.918,0.0,2.0,8.896
N.Williams,DEF,Nott'm Forest,5.0,12.5,1,3.224,4.5,3.862,blend(w_ours=0.5),3.19,0.111,1.052,0.0,2.0,8.896
Kayode,DEF,Brentford,4.5,3.8,1,3.221,,3.221,model,3.109,0.223,1.139,0.0,2.0,8.358
Merino,MID,Arsenal,6.0,1.2,1,3.209,,3.209,model,4.169,0.016,0.234,0.0,1.0,11.985
F.Kadıoğlu,DEF,Brighton,4.5,2.9,1,3.198,,3.198,model,3.087,0.113,1.072,0.0,2.0,8.896
Vuskovic,DEF,Brighton,5.0,2.9,1,3.192,,3.192,model,3.552,0.478,0.968,0.0,2.0,8.358
Roefs,GK,Sunderland,5.0,5.0,1,3.182,,3.182,model,2.536,0.0,1.56,0.0,2.0,6.51
Van Hecke,DEF,Tottenham,5.0,8.3,1,3.18,,3.18,model,2.954,0.506,0.867,0.0,2.0,8.896
Pickford,GK,Everton,5.5,8.9,1,3.171,,3.171,model,2.416,0.0,1.517,0.0,2.0,6.51
Struijk,DEF,Brighton,5.0,0.5,1,3.171,,3.171,model,3.212,0.529,0.941,0.0,2.0,8.896
Van den Berg,DEF,Brentford,5.0,0.7,1,3.167,,3.167,model,3.29,0.199,1.027,0.0,2.0,8.896
Šeško,FWD,Man United,7.0,2.6,1,3.158,,3.158,model,4.586,0.001,0.0,0.0,1.0,12.707
Neto,MID,Chelsea,6.5,1.3,1,3.144,,3.144,model,3.365,0.0,0.205,0.0,2.0,9.358
Aït-Nouri,DEF,Man City,5.5,1.1,1,3.133,,3.133,model,3.792,0.0,0.989,0.0,2.0,9.985
Rodon,DEF,Leeds,4.5,1.8,1,3.126,,3.126,model,2.922,0.759,0.885,0.0,2.0,8.358
Milenković,DEF,Nott'm Forest,5.5,2.3,1,3.115,,3.115,model,2.873,0.131,1.151,0.0,2.0,8.358
Donnarumma,GK,Man City,5.5,11.0,1,3.112,,3.112,model,2.487,0.0,1.463,0.0,2.0,6.51
Zubimendi,MID,Arsenal,5.5,1.5,1,3.073,,3.073,model,3.325,0.105,0.405,0.0,2.0,9.358
Martinez,DEF,Man United,5.0,0.6,1,3.055,,3.055,model,3.552,0.047,1.184,0.0,2.0,9.254
Richards,DEF,Crystal Palace,5.0,0.8,1,3.038,,3.038,model,3.046,0.369,1.016,0.0,2.0,8.358
Chalobah,DEF,Chelsea,5.5,1.9,1,3.025,,3.025,model,3.1,0.251,1.042,0.0,2.0,8.896
Mitchell,DEF,Crystal Palace,4.5,6.8,1,3.01,,3.01,model,2.759,0.08,1.142,0.0,2.0,7.358
Rúben,DEF,Man City,5.5,1.4,1,2.992,,2.992,model,3.062,0.031,1.17,0.0,2.0,8.896
Dewsbury-Hall,MID,Everton,6.5,3.8,1,2.973,4.45,3.712,blend(w_ours=0.5),3.074,0.115,0.259,0.0,2.0,9.358
Jacquet,DEF,Liverpool,5.0,1.6,1,2.972,,2.972,model,3.794,0.489,0.761,0.0,2.0,8.896
Stach,MID,Leeds,6.0,1.2,1,2.967,,2.967,model,2.876,0.358,0.195,0.0,2.0,8.627
Mykolenko,DEF,Everton,4.5,1.3,1,2.961,,2.961,model,2.702,0.037,1.241,0.0,2.0,6.358
O'Brien,DEF,Everton,5.0,0.5,1,2.951,,2.951,model,2.857,0.089,1.19,0.0,2.0,7.896
Wood,FWD,Nott'm Forest,6.0,1.8,1,2.946,,2.946,model,3.702,0.0,0.0,0.0,2.0,10.98
Aina,DEF,Nott'm Forest,4.5,4.4,1,2.933,,2.933,model,2.829,0.025,1.139,0.0,2.0,7.896
Muharemović,DEF,Leeds,5.0,1.4,1,2.914,,2.914,model,3.479,0.588,0.803,0.0,2.0,8.358
Truffert,DEF,Bournemouth,5.5,4.8,1,2.911,,2.911,model,2.737,0.86,0.551,0.0,2.0,8.358
Tavernier,MID,Bournemouth,6.0,1.9,1,2.876,,2.876,model,3.028,0.029,0.108,0.0,2.0,8.358
Kelleher,GK,Brentford,5.0,5.6,1,2.874,,2.874,model,2.405,0.0,1.312,0.0,2.0,6.51
Masuaku,DEF,Sunderland,4.0,1.5,1,2.866,,2.866,model,3.481,0.384,1.063,0.0,2.0,8.358
Wilson,MID,Leeds,6.5,8.3,1,2.861,,2.861,model,3.061,0.007,0.186,0.0,2.0,9.254
Dunk,DEF,Brighton,4.5,0.8,1,2.854,,2.854,model,2.904,0.212,1.008,0.0,2.0,8.358
Cash,DEF,Aston Villa,4.5,7.8,1,2.843,,2.843,model,2.836,0.03,1.033,0.0,2.0,7.896
Fernandes,MID,Tottenham,6.0,3.3,1,2.82,,2.82,model,2.441,0.221,0.181,0.0,2.0,8.358
Dorgu,MID,Man United,6.0,1.7,1,2.808,,2.808,model,3.567,0.019,0.239,0.0,2.0,9.358
Pedro Porro,DEF,Tottenham,5.5,23.5,1,2.805,,2.805,model,2.865,0.192,0.79,0.0,2.0,8.358
Damsgaard,MID,Brentford,5.5,0.7,1,2.8,,2.8,model,3.103,0.029,0.201,0.0,2.0,9.254
Welbeck,FWD,Chelsea,6.0,2.7,1,2.79,,2.79,model,3.332,0.0,0.0,0.0,2.0,7.353
Bogle,DEF,Leeds,4.5,0.4,1,2.784,,2.784,model,3.104,0.311,0.819,0.0,2.0,8.358
Van de Ven,DEF,Tottenham,5.0,6.8,1,2.776,,2.776,model,2.81,0.348,0.776,0.0,2.0,8.358
Madueke,MID,Arsenal,6.5,0.4,1,2.769,,2.769,model,3.95,0.0,0.224,0.0,1.0,10.254
Iwobi,MID,Fulham,5.5,0.9,1,2.764,,2.764,model,2.671,0.004,0.182,0.0,2.0,8.358
Verbruggen,GK,Brighton,4.5,17.0,1,2.747,,2.747,model,2.273,0.0,1.206,0.0,2.0,6.51
Konsa,DEF,Aston Villa,4.5,16.6,1,2.741,,2.741,model,2.616,0.031,1.026,0.0,2.0,6.358
James,DEF,Chelsea,5.5,7.9,1,2.738,,2.738,model,3.053,0.122,0.88,0.0,2.0,8.896
Evanilson,FWD,Bournemouth,6.0,2.0,1,2.733,,2.733,model,2.995,0.0,0.0,0.0,2.0,7.353
Branthwaite,DEF,Everton,5.5,1.9,1,2.728,,2.728,model,2.876,0.004,1.132,0.0,2.0,6.358
Romero,DEF,Tottenham,5.0,1.1,1,2.705,,2.705,model,2.943,0.518,0.677,0.0,2.0,8.358
White,DEF,Arsenal,5.5,0.4,1,2.691,,2.691,model,3.628,0.021,1.079,0.0,1.0,9.985
Martinelli,MID,Arsenal,6.5,0.3,1,2.668,,2.668,model,3.877,0.0,0.164,0.0,1.0,9.358
Mac Allister,MID,Liverpool,5.5,1.9,1,2.667,,2.667,model,2.839,0.01,0.186,0.0,2.0,8.358
Caicedo,MID,Chelsea,5.5,3.9,1,2.652,,2.652,model,2.116,0.122,0.244,0.0,2.0,8.358
Manzambi,MID,Aston Villa,6.0,2.1,1,2.651,,2.651,model,3.433,0.179,0.194,0.0,2.0,9.358
Solanke,FWD,Tottenham,6.0,2.6,1,2.641,,2.641,model,3.299,0.0,0.0,0.0,2.0,7.353
Bijol,DEF,Leeds,5.0,0.3,1,2.64,,2.64,model,3.025,0.741,0.671,0.0,2.0,8.358
Reinildo,DEF,Sunderland,4.5,0.5,1,2.639,,2.639,model,2.883,0.321,1.034,0.0,2.0,8.358
Yoro,DEF,Man United,5.0,0.7,1,2.631,,2.631,model,3.298,0.155,0.877,0.0,1.0,8.896
Barnes,MID,Newcastle,6.0,1.2,1,2.63,,2.63,model,3.484,0.0,0.103,0.0,2.0,9.358
Sangaré,MID,Brentford,5.5,1.3,1,2.629,,2.629,model,3.977,0.16,0.198,0.0,2.0,9.358
Wieffer,DEF,Brighton,5.0,0.3,1,2.621,,2.621,model,3.324,0.507,0.622,0.0,1.0,8.358
Murillo,DEF,Nott'm Forest,5.5,0.2,1,2.619,,2.619,model,2.728,0.131,0.978,0.0,2.0,6.358
van Ewijk,DEF,Coventry,4.0,15.9,1,2.613,,2.613,model,2.555,0.992,0.437,0.0,2.0,7.358
Brobbey,FWD,Sunderland,6.0,18.7,1,2.608,,2.608,model,2.947,0.0,0.0,0.0,2.0,7.353
Estêvão,MID,Chelsea,6.5,1.7,1,2.603,,2.603,model,3.279,0.011,0.114,0.0,1.0,9.254
Colwill,DEF,Chelsea,5.0,1.7,1,2.598,,2.598,model,2.911,0.0,0.965,0.0,2.0,7.896
Gomez,MID,Brighton,5.0,1.8,1,2.596,,2.596,model,3.134,0.029,0.177,0.0,2.0,9.254
Khusanov,DEF,Man City,5.5,2.0,1,2.592,,2.592,model,3.153,0.105,0.937,0.0,2.0,8.358
Gravenberch,MID,Liverpool,6.0,1.9,1,2.591,,2.591,model,2.308,0.029,0.207,0.0,2.0,8.358
Wissa,FWD,Newcastle,6.0,1.4,1,2.582,,2.582,model,3.695,0.0,0.0,0.0,1.0,10.98
Rayan,MID,Bournemouth,6.5,3.5,1,2.579,,2.579,model,2.904,0.063,0.097,0.0,2.0,8.358
Anthony,MID,Brentford,6.0,0.2,1,2.575,,2.575,model,3.175,0.095,0.189,0.0,2.0,9.358
McGinn,MID,Aston Villa,5.5,2.7,1,2.557,,2.557,model,2.544,0.002,0.217,0.0,2.0,8.358
Sánchez,GK,Chelsea,5.0,2.0,1,2.55,,2.55,model,2.296,0.0,1.139,0.0,2.0,6.51
Sels,GK,Nott'm Forest,5.0,1.4,1,2.544,,2.544,model,2.316,0.0,1.12,0.0,2.0,6.51
A.Becker,GK,Liverpool,5.5,4.1,1,2.536,,2.536,model,2.378,0.0,1.073,0.0,2.0,6.51
Ngumoha,MID,Liverpool,6.0,1.6,1,2.522,,2.522,model,3.424,0.013,0.104,0.0,1.0,9.254
N.Jackson,FWD,Chelsea,6.5,0.4,1,2.505,,2.505,model,3.947,0.0,0.0,0.0,1.0,10.98
Mazraoui,DEF,Man United,4.5,0.7,1,2.5,,2.5,model,3.107,0.009,0.976,0.0,1.0,7.896
Gusto,DEF,Chelsea,5.0,1.1,1,2.497,,2.497,model,3.159,0.027,0.774,0.0,1.0,8.896
Martinez,GK,Aston Villa,5.0,4.8,1,2.49,,2.49,model,2.217,0.0,1.055,0.0,2.0,6.51
Tielemans,MID,Man United,6.0,0.9,1,2.486,,2.486,model,3.391,0.022,0.233,0.0,2.0,9.358
Hall,DEF,Newcastle,5.0,4.0,1,2.475,,2.475,model,2.865,0.067,0.665,0.0,2.0,8.358
Munoz,MID,Liverpool,6.5,0.8,1,2.474,,2.474,model,3.752,0.214,0.143,0.0,2.0,9.358
Scott,MID,Bournemouth,6.0,1.6,1,2.471,,2.471,model,2.476,0.35,0.092,0.0,2.0,8.358
Botman,DEF,Newcastle,5.0,0.4,1,2.467,,2.467,model,3.033,0.605,0.488,0.0,1.0,8.358
A.García,DEF,Aston Villa,4.0,1.6,1,2.464,,2.464,model,3.028,0.361,0.77,0.0,2.0,8.358
Kluivert,MID,Bournemouth,6.0,1.1,1,2.456,,2.456,model,3.114,0.0,0.073,0.0,2.0,8.358
Thomas,DEF,Coventry,4.0,8.7,1,2.452,,2.452,model,2.472,0.971,0.414,0.0,2.0,7.358
Davis,DEF,Ipswich,4.0,4.0,1,2.45,,2.45,model,2.851,0.0,0.803,0.0,2.0,7.896
Meunier,DEF,Sunderland,4.5,0.5,1,2.447,,2.447,model,3.38,0.319,0.907,0.0,1.0,8.358
Canvot,DEF,Crystal Palace,5.0,0.6,1,2.443,,2.443,model,3.051,0.571,0.617,0.0,1.0,8.358
Minteh,MID,Brighton,6.0,0.7,1,2.42,,2.42,model,2.919,0.007,0.171,0.0,2.0,8.358
Maddison,MID,Tottenham,6.5,1.9,1,2.415,,2.415,model,3.159,0.001,0.105,0.0,2.0,8.358
Obi,FWD,Man United,4.5,1.2,1,2.402,,2.402,model,4.898,0.007,0.0,0.0,0.0,12.707
Kusi-Asare,FWD,Fulham,4.5,7.8,1,2.397,,2.397,model,3.302,0.013,0.0,0.0,2.0,7.353
Burn,DEF,Newcastle,5.0,2.7,1,2.397,,2.397,model,2.693,0.155,0.705,0.0,2.0,7.896
Frimpong,DEF,Liverpool,5.5,3.0,1,2.391,,2.391,model,2.92,0.02,0.652,0.0,1.0,8.254
Sadiki,MID,Sunderland,5.0,0.4,1,2.39,,2.39,model,2.216,0.124,0.286,0.0,2.0,7.627
Mainoo,MID,Man United,5.5,1.3,1,2.389,,2.389,model,2.862,0.052,0.24,0.0,2.0,8.358
Andrey Santos,MID,Man United,5.0,1.4,1,2.384,,2.384,model,3.318,0.081,0.176,0.0,1.0,9.358
Kerkez,DEF,Liverpool,5.5,5.5,1,2.379,,2.379,model,2.706,0.028,0.76,0.0,2.0,7.896
Hinshelwood,MID,Brighton,6.0,0.3,1,2.377,4.26,3.319,blend(w_ours=0.5),2.912,0.001,0.169,0.0,2.0,8.358
Bassey,DEF,Fulham,4.5,0.6,1,2.377,,2.377,model,2.584,0.073,0.832,0.0,2.0,6.358
Tonali,MID,Tottenham,5.5,4.1,1,2.372,,2.372,model,2.367,0.027,0.155,0.0,2.0,8.358
Woltemade,FWD,Newcastle,6.0,1.8,1,2.369,,2.369,model,3.183,0.002,0.0,0.0,2.0,7.353
De Cuyper,DEF,Brighton,4.5,1.3,1,2.359,,2.359,model,3.32,0.056,0.574,0.0,1.0,8.896
Ajer,DEF,Brentford,4.5,1.6,1,2.337,,2.337,model,2.824,0.167,0.787,0.0,1.0,7.896
Aaronson,MID,Leeds,5.5,0.8,1,2.335,,2.335,model,2.685,0.082,0.168,0.0,2.0,8.358
Lewis-Potter,MID,Brentford,5.5,0.5,1,2.323,,2.323,model,2.782,0.0,0.186,0.0,2.0,8.358
Sessegnon,DEF,Fulham,4.5,0.4,1,2.319,,2.319,model,3.149,0.279,0.596,0.0,1.0,8.896
Robinson,DEF,Fulham,4.5,2.6,1,2.317,,2.317,model,2.764,0.012,0.787,0.0,1.0,6.358
Savinho,MID,Man City,6.5,0.1,1,2.31,,2.31,model,3.657,0.0,0.091,0.0,1.0,9.358
Beto,FWD,Everton,5.5,3.2,1,2.28,,2.28,model,3.073,0.001,0.0,0.0,1.0,7.353
Amass,DEF,Man United,4.0,0.2,1,2.276,,2.276,model,3.741,0.308,0.824,0.0,0.0,8.358
Wharton,MID,Crystal Palace,5.5,0.3,1,2.275,,2.275,model,2.419,0.143,0.192,0.0,2.0,7.627
Hill,DEF,Bournemouth,5.5,1.2,1,2.271,,2.271,model,2.623,0.733,0.405,0.0,1.0,7.896
Richarlison,FWD,Tottenham,6.0,2.0,1,2.267,4.8,3.533,blend(w_ours=0.5),3.025,0.009,0.0,0.0,1.0,7.353
Okafor,MID,Leeds,6.0,0.7,1,2.265,,2.265,model,2.965,0.012,0.136,0.0,2.0,8.358
Leno,GK,Fulham,4.5,3.2,1,2.264,,2.264,model,2.14,0.0,0.935,0.0,2.0,6.51
Zirkzee,FWD,Man United,5.5,0.7,1,2.255,,2.255,model,3.415,0.001,0.0,0.0,1.0,7.353
Igor Jesus,FWD,Nott'm Forest,6.0,5.1,1,2.252,,2.252,model,2.765,0.002,0.0,0.0,2.0,7.353
Garnacho,MID,Aston Villa,6.0,1.0,1,2.245,,2.245,model,3.133,0.0,0.106,0.0,1.0,9.254
Gomes,MID,Aston Villa,5.5,0.3,1,2.243,,2.243,model,2.186,0.04,0.205,0.0,2.0,6.627
Palmer,GK,Ipswich,4.0,5.9,1,2.223,,2.223,model,3.659,0.0,0.708,0.0,1.0,12.019
Justin,DEF,Leeds,4.5,0.5,1,2.222,,2.222,model,2.776,0.071,0.721,0.0,1.0,7.358
Targett,DEF,Hull,4.0,2.7,1,2.212,,2.212,model,2.427,1.121,0.26,0.0,2.0,7.358
Sangaré,MID,Nott'm Forest,5.0,0.6,1,2.211,,2.211,model,2.343,0.333,0.18,0.0,2.0,6.627
O'Nien,DEF,Sunderland,4.0,2.4,1,2.211,,2.211,model,2.838,0.159,0.834,0.0,1.0,7.358
Reijnders,MID,Man City,6.0,0.4,1,2.199,,2.199,model,3.594,0.011,0.141,0.0,1.0,9.358
J.Murphy,MID,Newcastle,6.0,0.2,1,2.196,,2.196,model,2.891,0.0,0.102,0.0,2.0,8.358
Mount,MID,Man United,5.5,0.1,1,2.175,,2.175,model,3.41,0.008,0.113,0.0,1.0,9.254
Fletcher,MID,Man United,4.5,0.3,1,2.171,,2.171,model,4.313,0.102,0.196,0.0,0.0,9.358
Buendía,MID,Aston Villa,6.0,0.9,1,2.162,,2.162,model,2.758,0.019,0.101,0.0,1.0,8.358
Yarmoliuk,MID,Brentford,5.0,1.5,1,2.15,,2.15,model,2.178,0.163,0.19,0.0,2.0,6.627
Diarra,MID,Sunderland,5.5,0.1,1,2.148,,2.148,model,3.265,0.011,0.174,0.0,1.0,9.358
Schär,DEF,Newcastle,5.0,0.2,1,2.133,,2.133,model,2.942,0.042,0.581,0.0,1.0,7.896
Spence,DEF,Tottenham,4.5,9.0,1,2.13,,2.13,model,2.543,0.05,0.625,0.0,1.0,6.358
Ayari,MID,Brighton,5.5,0.7,1,2.13,,2.13,model,2.486,0.052,0.162,0.0,2.0,8.358
Dowman,MID,Arsenal,5.5,0.2,1,2.125,,2.125,model,4.133,0.119,0.255,0.0,0.0,9.358
Digne,DEF,Aston Villa,4.5,1.4,1,2.124,,2.124,model,2.689,0.011,0.689,0.0,1.0,6.358
Fredricson,DEF,Man United,4.0,0.1,1,2.123,,2.123,model,3.828,0.27,0.732,0.0,0.0,8.358
Jensen,MID,Brentford,5.5,0.1,1,2.113,,2.113,model,2.718,0.043,0.14,0.0,1.0,8.358
Smith Rowe,MID,Fulham,5.5,0.4,1,2.111,,2.111,model,2.698,0.002,0.126,0.0,2.0,8.358
Nedeljkovic,DEF,Aston Villa,4.0,0.6,1,2.102,,2.102,model,3.378,0.341,0.615,0.0,1.0,8.358
Marmoush,FWD,Man City,7.0,0.7,1,2.099,,2.099,model,3.209,0.001,0.0,0.0,1.0,7.353
O'Shea,DEF,Ipswich,4.0,1.9,1,2.081,,2.081,model,2.378,0.0,0.816,0.0,1.0,6.358
Diop,DEF,Ipswich,4.0,19.1,1,2.079,,2.079,model,2.551,0.14,0.662,0.0,1.0,6.358
Grealish,MID,Man City,6.5,0.2,1,2.078,,2.078,model,3.298,0.033,0.136,0.0,1.0,9.254
Reed,MID,Fulham,4.5,1.1,1,2.072,,2.072,model,2.765,0.177,0.15,0.0,2.0,8.358
Furlong,DEF,Ipswich,4.0,0.4,1,2.058,,2.058,model,2.894,0.587,0.533,0.0,0.0,8.358
Tete,DEF,Fulham,4.5,0.2,1,2.049,,2.049,model,2.782,0.1,0.655,0.0,1.0,7.896
Egan,DEF,Hull,4.0,1.2,1,2.048,,2.048,model,2.737,0.967,0.288,0.0,2.0,7.358
Bendito Mantato,MID,Man United,4.5,0.2,1,2.047,,2.047,model,4.286,0.1,0.197,0.0,0.0,8.358
Delap,FWD,Chelsea,5.5,0.5,1,2.034,,2.034,model,2.776,0.0,0.0,0.0,1.0,7.353
Danso,DEF,Tottenham,5.0,0.2,1,2.029,,2.029,model,2.61,0.537,0.452,0.0,1.0,7.896
Kipré,DEF,Ipswich,4.0,0.4,1,2.02,,2.02,model,2.882,0.599,0.529,0.0,0.0,8.358
Yeremy,MID,Crystal Palace,5.5,0.2,1,2.019,,2.019,model,2.83,0.045,0.111,0.0,1.0,8.358
