player,pos,team,cost,own,0.0,0.25,0.5,0.75,1.0,range
Mamardashvili,GK,Liverpool,5.0,0.2,8.941,8.805,9.004,8.935,8.957,0.199
Diop,DEF,Ipswich,4.0,21.6,8.879,8.461,8.569,8.504,8.86,0.418
O'Nien,DEF,Sunderland,4.0,2.4,8.86,8.803,8.725,8.675,8.905,0.229
Milosavljević,DEF,Bournemouth,5.0,0.1,8.83,8.631,8.554,8.708,8.613,0.276
Devenny,MID,Crystal Palace,5.0,0.0,8.727,8.721,8.362,8.142,8.229,0.585
Yates,MID,Nott'm Forest,4.5,6.2,8.677,8.709,8.763,8.94,9.239,0.562
Gnonto,MID,Leeds,5.0,0.1,8.505,8.493,8.618,8.592,8.764,0.27
Perri,GK,Leeds,4.5,1.1,8.399,8.469,8.549,8.507,8.448,0.15
Jörgensen,GK,Chelsea,5.0,0.1,7.987,8.357,9.367,9.69,10.09,2.103
McAtee,MID,Nott'm Forest,5.5,0.0,7.742,8.732,9.281,10.024,10.371,2.629
Bornauw,DEF,Leeds,4.5,0.0,7.698,7.503,7.78,7.799,7.904,0.401
Bogarde,MID,Aston Villa,5.0,0.1,7.434,7.448,7.582,7.576,7.738,0.304
Abraham,FWD,Aston Villa,5.5,0.0,7.362,7.589,7.637,7.491,7.445,0.275
Pinnock,DEF,Brentford,4.5,0.1,7.355,8.414,9.637,10.931,11.277,3.921
Lewis-Skelly,MID,Arsenal,5.5,0.3,7.002,7.483,7.897,8.273,8.333,1.331
M.Bizot,GK,Aston Villa,4.5,0.1,6.573,7.01,6.598,6.747,6.698,0.437
Bayindir,GK,Man United,4.5,0.1,6.469,6.773,7.263,7.723,8.0,1.531
Dibling,MID,Everton,5.5,0.0,6.36,7.117,8.092,8.78,9.396,3.035
Trafford,GK,Man City,5.0,1.0,6.088,6.217,5.969,6.107,5.983,0.248
Odobert,MID,Tottenham,5.5,0.0,5.229,5.117,4.95,4.765,4.677,0.553
Ugarte,MID,Man United,5.0,0.0,3.486,3.427,3.28,3.253,3.179,0.307
Ekitiké,FWD,Liverpool,7.5,0.2,3.318,3.286,3.288,3.269,3.196,0.122
Xavi,MID,Tottenham,6.0,0.0,3.118,3.142,3.122,3.092,3.078,0.064
Bradley,DEF,Liverpool,5.0,0.0,3.026,3.474,3.79,3.899,4.05,1.025
L.Miley,MID,Newcastle,5.5,0.0,2.828,3.317,3.951,4.226,4.499,1.67
White,DEF,Arsenal,5.5,0.0,2.466,2.34,2.293,2.195,2.207,0.271
Savona,DEF,Nott'm Forest,4.5,0.0,2.315,2.217,2.29,2.253,2.259,0.097
Rodrigo,MID,Man City,6.5,0.1,2.182,2.349,2.49,2.717,2.891,0.709
Fofana,DEF,Chelsea,5.0,0.0,2.018,1.855,1.681,1.644,1.553,0.465
Onana,MID,Aston Villa,5.0,0.0,1.667,1.951,2.009,2.125,2.192,0.525
J.Timber,DEF,Arsenal,6.5,1.0,1.406,1.322,1.228,1.198,1.195,0.211
Saliba,DEF,Arsenal,6.0,0.5,0.932,0.855,0.79,0.799,0.781,0.151
Andersen,DEF,Fulham,5.0,0.1,0.663,0.585,0.478,0.453,0.422,0.241
De Ligt,DEF,Man United,5.0,0.0,0.31,0.939,1.196,1.417,1.489,1.179
