rank,player,pos,team,status,cost_m,own,nfix,exp_starts,mean,sd,p5,p25,median,p75,p95,pts_per_fix,pts_per_m,p_ceiling,p_floor,cold_start,adj_delta,adj_total,gw_from,gw_to,id
43.0,N.Williams,DEF,Nott'm Forest,projected,5.0,13.0,6,5.33,20.899,8.127,9.358,15.358,19.985,25.075,34.984,3.483,4.18,0.041,0.118,False,0.0,20.899,1,6,469
44.0,Evanilson,FWD,Bournemouth,projected,6.0,2.0,6,4.78,20.792,9.678,8.0,13.353,19.707,26.06,38.766,3.465,3.465,0.075,0.196,False,0.0,20.792,1,6,79
45.0,Palmer,MID,Chelsea,projected,9.5,12.2,6,3.69,20.667,12.447,5.0,11.358,18.358,27.612,45.42,3.444,2.175,0.113,0.27,False,0.0,20.667,1,6,154
46.0,Mateta,FWD,Crystal Palace,projected,6.5,6.9,6,3.82,20.663,10.772,6.0,12.353,19.334,27.413,41.12,3.444,3.179,0.098,0.23,False,0.0,20.663,1,6,223
47.0,Amad,MID,Man United,projected,6.0,1.6,6,4.1,20.647,11.375,6.0,12.627,18.358,26.385,43.42,3.441,3.441,0.102,0.235,False,0.0,20.647,1,6,431
48.0,Collins,DEF,Brentford,projected,5.5,2.0,6,4.78,20.58,9.033,8.0,14.358,19.889,24.985,36.509,3.43,3.742,0.057,0.163,False,0.0,20.58,1,6,84
49.0,Wilson,MID,Brentford,projected,5.5,0.4,6,4.78,20.513,9.405,8.0,13.627,19.254,25.758,39.225,3.419,3.73,0.071,0.191,False,0.0,20.513,1,6,260
50.0,Bruno G.,MID,Newcastle,projected,7.0,9.2,6,4.1,20.445,10.243,7.0,13.358,18.672,25.717,38.72,3.407,2.921,0.078,0.208,False,0.0,20.445,1,6,452
51.0,O.Dango,MID,Brentford,projected,6.5,1.4,6,3.82,20.28,10.682,6.0,12.627,18.627,26.276,40.707,3.38,3.12,0.086,0.232,False,0.0,20.28,1,6,95
52.0,Matheus N.,DEF,Man City,projected,6.0,4.9,6,4.78,20.261,8.422,8.0,14.358,19.717,25.366,34.796,3.377,3.377,0.038,0.164,False,0.0,20.261,1,6,389
53.0,Milenković,DEF,Nott'm Forest,projected,5.5,2.3,6,5.47,20.189,7.07,9.0,15.358,19.717,24.717,32.434,3.365,3.671,0.021,0.117,False,0.0,20.189,1,6,471
54.0,Van den Berg,DEF,Brentford,projected,5.0,0.7,6,4.51,20.149,8.929,7.0,13.358,19.358,25.717,35.979,3.358,4.03,0.05,0.198,False,0.0,20.149,1,6,85
55.0,Truffert,DEF,Bournemouth,projected,5.5,4.7,6,5.61,20.084,7.813,9.0,14.358,19.299,24.612,33.961,3.347,3.652,0.036,0.15,False,0.0,20.084,1,6,61
56.0,Richards,DEF,Crystal Palace,projected,5.0,0.8,6,4.65,19.884,8.203,8.0,14.0,18.717,24.717,34.689,3.314,3.977,0.039,0.177,False,0.0,19.884,1,6,202
57.0,Ampadu,MID,Leeds,projected,5.5,1.5,6,5.2,19.811,5.998,11.0,16.0,19.0,22.784,30.376,3.302,3.602,0.017,0.077,False,0.0,19.811,1,6,338
58.0,Zubimendi,MID,Arsenal,projected,5.5,1.5,6,5.06,19.672,7.592,10.0,15.0,18.127,23.358,32.99,3.279,3.577,0.032,0.125,False,0.0,19.672,1,6,19
59.0,Shaw,DEF,Man United,projected,4.5,24.7,6,5.61,19.656,7.856,8.981,14.19,18.717,24.075,35.061,3.276,4.368,0.039,0.17,False,0.0,19.656,1,6,423
60.0,Cherki,MID,Man City,projected,7.5,9.3,6,3.0,19.457,12.124,5.0,11.0,16.881,25.276,42.959,3.243,2.594,0.103,0.308,False,0.0,19.457,1,6,399
61.0,Fernandes,MID,Tottenham,projected,6.0,3.5,6,5.2,19.392,6.579,11.0,15.0,19.0,22.986,31.371,3.232,3.232,0.017,0.123,False,0.0,19.392,1,6,525
62.0,Welbeck,FWD,Chelsea,projected,6.0,2.7,6,3.96,19.295,10.929,6.0,11.353,16.98,25.06,40.672,3.216,3.216,0.085,0.292,False,0.0,19.295,1,6,136
63.0,Davies,GK,Liverpool,projected,4.0,0.1,6,3.42,19.245,24.771,1.0,5.877,12.019,22.528,61.145,3.207,4.811,0.133,0.494,True,0.0,19.245,1,6,-1
64.0,Calafiori,DEF,Arsenal,projected,5.5,16.1,6,3.41,19.209,11.321,3.0,11.243,18.165,25.15,38.871,3.201,3.492,0.08,0.27,False,0.0,19.209,1,6,8
65.0,Neto,MID,Chelsea,projected,6.5,1.3,6,4.51,19.194,9.422,7.0,12.627,17.627,23.717,36.603,3.199,2.953,0.053,0.224,False,0.0,19.194,1,6,156
66.0,Mitchell,DEF,Crystal Palace,projected,4.5,6.9,6,5.33,19.117,7.672,8.627,13.717,18.254,24.075,32.33,3.186,4.248,0.03,0.185,False,0.0,19.117,1,6,204
67.0,Alderete,DEF,Sunderland,projected,5.0,1.2,6,4.78,19.084,7.647,8.0,13.358,18.358,23.717,32.613,3.181,3.817,0.027,0.183,False,0.0,19.084,1,6,535
68.0,Kayode,DEF,Brentford,projected,4.5,4.0,6,5.47,19.065,7.944,8.0,13.358,18.344,24.075,33.003,3.178,4.237,0.037,0.197,False,0.0,19.065,1,6,88
69.0,F.Kadıoğlu,DEF,Brighton,projected,4.5,2.9,6,5.06,19.055,7.919,8.0,13.358,18.254,23.997,33.083,3.176,4.234,0.027,0.199,False,0.0,19.055,1,6,113
