gw,team,opp,venue,xGA,cs_prob
1,Aston Villa,Brighton,A,1.5115,0.2383
2,Brentford,Leeds,A,1.5096,0.2379
2,Newcastle,Tottenham,A,1.5126,0.2373
5,Fulham,Man United,H,1.511,0.2368
7,Crystal Palace,Brighton,A,1.5333,0.2331
4,Coventry,Brighton,H,1.6138,0.2315
7,Aston Villa,Newcastle,A,1.5458,0.2301
7,Nott'm Forest,Arsenal,H,1.5475,0.2297
9,Chelsea,Man United,H,1.5484,0.2291
1,Leeds,Nott'm Forest,A,1.5552,0.2284
9,Liverpool,Arsenal,H,1.5533,0.2279
3,Sunderland,Brentford,A,1.5573,0.2276
4,Newcastle,Leeds,A,1.5617,0.2268
3,Tottenham,Nott'm Forest,A,1.5665,0.2262
9,Everton,Newcastle,A,1.5647,0.2262
10,Brentford,Brighton,A,1.5737,0.2248
6,Coventry,Newcastle,H,1.6519,0.2237
2,Brighton,Chelsea,A,1.5851,0.2224
1,Liverpool,Newcastle,A,1.5964,0.2198
10,Tottenham,Leeds,A,1.6072,0.2181
4,Man United,Man City,H,1.6206,0.2145
9,Fulham,Aston Villa,A,1.6237,0.2139
7,Sunderland,Bournemouth,A,1.6261,0.2139
7,Leeds,Man United,H,1.6292,0.2124
8,Aston Villa,Man City,H,1.6303,0.2123
9,Nott'm Forest,Brentford,A,1.6372,0.212
4,Nott'm Forest,Aston Villa,A,1.6368,0.212
7,Liverpool,Brentford,A,1.6433,0.2102
8,Brighton,Liverpool,A,1.6499,0.21
3,Bournemouth,Newcastle,A,1.6583,0.2081
6,Brentford,Aston Villa,A,1.6595,0.2076
2,Crystal Palace,Man City,H,1.6562,0.2075
3,Leeds,Brighton,A,1.6616,0.2073
9,Man United,Chelsea,A,1.6647,0.2069
5,Chelsea,Brentford,A,1.6639,0.2064
10,Nott'm Forest,Man City,H,1.6767,0.2039
2,Everton,Bournemouth,A,1.6841,0.2033
6,Liverpool,Man City,H,1.6837,0.2023
4,Ipswich,Crystal Palace,A,1.816,0.1975
5,Liverpool,Bournemouth,A,1.7172,0.197
4,Brentford,Bournemouth,A,1.7332,0.1944
6,Hull,Everton,H,1.8391,0.1926
10,Ipswich,Bournemouth,H,1.8511,0.1905
1,Tottenham,Brentford,A,1.7661,0.1887
4,Fulham,Liverpool,A,1.7778,0.1864
10,Coventry,Everton,A,1.8865,0.1858
2,Nott'm Forest,Liverpool,A,1.7901,0.1843
6,Bournemouth,Chelsea,A,1.7965,0.1837
7,Coventry,Tottenham,A,1.8977,0.1835
5,Coventry,Nott'm Forest,A,1.9081,0.1815
2,Hull,Coventry,A,2.0215,0.1796
9,Leeds,Bournemouth,A,1.8308,0.1779
