id,player,pos,team,own,cost,nfix,mean,sd,defcon_ev,cs_ev,p5,p25,median,p75,p95,ppm
63,Milosavljević,DEF,Bournemouth,0.1,5.0,6,5.67,5.8,1.12,1.09,0.0,1.0,4.0,8.36,17.01,1.13
-85,Phillips,GK,Hull,3.1,4.0,6,5.36,4.86,0.0,1.98,0.0,2.0,4.0,8.0,14.51,1.34
-10,Dennis,GK,Bournemouth,0.2,4.0,6,5.31,4.9,0.0,2.21,0.0,1.0,4.0,8.51,15.02,1.33
333,Bornauw,DEF,Leeds,0.0,4.5,6,5.29,4.58,0.76,0.86,1.0,2.0,4.0,7.0,14.36,1.17
-112,Button,GK,Ipswich,0.7,4.0,6,5.13,4.9,0.0,2.09,0.0,1.0,4.0,8.0,15.02,1.28
141,Jörgensen,GK,Chelsea,0.1,5.0,6,5.03,4.66,0.0,2.03,0.0,1.0,4.0,7.51,14.02,1.01
517,Odobert,MID,Tottenham,0.0,5.5,6,4.96,3.25,0.0,0.02,2.0,3.0,4.0,5.0,11.36,0.9
234,Patterson,DEF,Everton,0.0,4.5,6,4.95,4.75,0.16,1.06,1.0,2.0,3.0,7.36,13.99,1.1
300,Walton,GK,Ipswich,0.9,4.5,6,4.92,4.97,0.0,1.96,0.0,1.0,3.51,7.51,15.02,1.09
-123,van Oevelen,GK,Ipswich,0.1,4.5,6,4.64,4.69,0.0,1.85,0.0,1.0,3.0,7.51,14.02,1.03
459,L.Miley,MID,Newcastle,0.0,5.5,6,3.87,3.02,0.01,0.01,1.0,2.0,3.0,4.0,10.36,0.7
-88,Lo-Tutala,GK,Hull,0.3,4.0,6,3.87,4.26,0.0,1.43,0.0,1.0,2.25,6.0,12.51,0.97
-87,Cartwright,GK,Hull,0.3,4.0,6,3.71,4.06,0.0,1.33,0.0,1.0,2.0,6.0,12.02,0.93
360,Bradley,DEF,Liverpool,0.0,5.0,6,3.66,2.62,0.02,0.09,1.0,2.0,3.0,4.0,9.36,0.73
413,Bayindir,GK,Man United,0.1,4.5,6,3.55,4.43,0.0,1.64,0.0,0.0,2.0,6.51,13.02,0.79
380,Ekitiké,FWD,Liverpool,0.2,7.5,6,3.38,3.88,0.0,0.0,0.0,1.0,2.0,4.0,10.98,0.45
433,Ugarte,MID,Man United,0.0,5.0,6,3.3,2.49,0.01,0.02,1.0,2.0,3.0,4.0,9.36,0.66
29,M.Bizot,GK,Aston Villa,0.1,4.5,6,3.23,4.0,0.0,1.31,0.0,0.0,2.0,5.51,11.51,0.72
513,Xavi,MID,Tottenham,0.0,6.0,6,3.05,2.78,0.01,0.01,0.0,1.0,2.0,4.0,9.36,0.51
402,Rodrigo,MID,Man City,0.1,6.5,6,2.52,2.75,0.05,0.02,0.0,1.0,2.0,3.0,8.36,0.39
475,Savona,DEF,Nott'm Forest,0.0,4.5,6,2.27,2.36,0.01,0.09,0.0,1.0,2.0,3.0,8.36,0.5
10,White,DEF,Arsenal,0.0,5.5,6,2.24,2.41,0.0,0.11,0.0,1.0,2.0,3.0,7.63,0.41
48,Onana,MID,Aston Villa,0.0,5.0,6,1.98,2.1,0.01,0.02,0.0,1.0,2.0,2.0,6.63,0.4
521,Kulusevski,MID,Tottenham,0.0,6.5,6,1.73,2.23,0.0,0.02,0.0,0.0,1.0,2.0,7.36,0.27
145,Fofana,DEF,Chelsea,0.0,5.0,6,1.68,1.82,0.04,0.08,0.0,1.0,1.0,2.0,5.0,0.34
5,J.Timber,DEF,Arsenal,1.0,6.5,6,1.25,2.22,0.01,0.13,0.0,0.0,1.0,1.0,6.36,0.19
416,De Ligt,DEF,Man United,0.0,5.0,6,1.19,1.94,0.01,0.08,0.0,0.0,1.0,1.0,4.65,0.24
6,Saliba,DEF,Arsenal,0.5,6.0,6,0.77,1.61,0.01,0.11,0.0,0.0,0.0,1.0,3.0,0.13
253,Andersen,DEF,Fulham,0.1,5.0,6,0.5,1.38,0.03,0.09,0.0,0.0,0.0,1.0,2.0,0.1
-137,Bajcetic,MID,Liverpool,0.0,5.0,6,0.24,1.26,0.03,0.02,0.0,0.0,0.0,0.0,2.0,0.05
-32,Ferguson,FWD,Brighton,0.0,5.0,6,0.22,1.32,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.04
-75,Uche,FWD,Crystal Palace,0.0,5.0,6,0.22,1.23,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.04
-134,Leoni,DEF,Liverpool,0.1,4.0,6,0.2,1.15,0.04,0.06,0.0,0.0,0.0,0.0,0.0,0.05
-103,Matazo,MID,Hull,0.0,4.5,6,0.19,0.94,0.02,0.01,0.0,0.0,0.0,0.0,2.0,0.04
