team,player,role,as_of
Arsenal,Raya,start,2026-08-20
Arsenal,Calafiori,start,2026-08-20
Arsenal,Gabriel,start,2026-08-20
Arsenal,Mosquera,start,2026-08-20
Arsenal,White,start,2026-08-20
Arsenal,Rice,start,2026-08-20
Arsenal,Lewis-Skelly,start,2026-08-20
Arsenal,Tzolis,start,2026-08-20
Arsenal,Odegaard,start,2026-08-20
Arsenal,Saka,start,2026-08-20
Arsenal,Havertz,start,2026-08-20
Coventry,Rushworth,start,2026-08-20
Coventry,Dasilva,start,2026-08-20
Coventry,Thomas,start,2026-08-20
Coventry,Amenda,start,2026-08-20
Coventry,van Ewijk,start,2026-08-20
Coventry,Yirenkyi,start,2026-08-20
Coventry,Onyeka,start,2026-08-20
Coventry,Grimes,start,2026-08-20
Coventry,Tchaouna,start,2026-08-20
Coventry,Sakamoto,start,2026-08-20
Coventry,Simms,start,2026-08-20
Hull,Tzolakis,start,2026-08-20
Hull,Giles,start,2026-08-20
Hull,Egan,start,2026-08-20
Hull,Ajayi,start,2026-08-20
Hull,Coyle,start,2026-08-20
Hull,Slater,start,2026-08-20
Hull,Crooks,start,2026-08-20
Hull,Stroud,start,2026-08-20
Hull,Belloumi,start,2026-08-20
Hull,Hjerto-Dahl,start,2026-08-20
Hull,McBurnie,start,2026-08-20
Man United,Lammens,start,2026-08-20
Man United,Shaw,start,2026-08-20
Man United,Maguire,start,2026-08-20
Man United,Yoro,start,2026-08-20
Man United,Dalot,start,2026-08-20
Man United,Santos,start,2026-08-20
Man United,Tielemans,start,2026-08-20
Man United,Cunha,start,2026-08-20
Man United,Fernandes,start,2026-08-20
Man United,Diallo,start,2026-08-20
Man United,Mbeumo,start,2026-08-20
Nott'm Forest,Sels,start,2026-08-20
Nott'm Forest,Milenkovic,start,2026-08-20
Nott'm Forest,Murillo,start,2026-08-20
Nott'm Forest,Diomande,start,2026-08-20
Nott'm Forest,Williams,start,2026-08-20
Nott'm Forest,Schlager,start,2026-08-20
Nott'm Forest,Sangare,start,2026-08-20
Nott'm Forest,Aina,start,2026-08-20
Nott'm Forest,Gibbs-White,start,2026-08-20
Nott'm Forest,Ndoye,start,2026-08-20
Nott'm Forest,Jesus,start,2026-08-20
Leeds,Trafford,start,2026-08-20
Leeds,Rodon,start,2026-08-20
Leeds,Bijol,start,2026-08-20
Leeds,Muharemovic,start,2026-08-20
Leeds,Justin,start,2026-08-20
Leeds,Ampadu,start,2026-08-20
Leeds,Stach,start,2026-08-20
Leeds,Bogle,start,2026-08-20
Leeds,Wilson,start,2026-08-20
Leeds,Aaronson,start,2026-08-20
Leeds,Calvert-Lewin,start,2026-08-20
Ipswich,Scherpen,start,2026-08-20
Ipswich,Davis,start,2026-08-20
Ipswich,Diop,start,2026-08-20
Ipswich,Greaves,start,2026-08-20
Ipswich,O'Shea,start,2026-08-20
Ipswich,Luis,start,2026-08-20
Ipswich,Lukic,start,2026-08-20
Ipswich,Maeda,start,2026-08-20
Ipswich,Nunez,start,2026-08-20
Ipswich,Fatawu,start,2026-08-20
Ipswich,Emersonn,start,2026-08-20
Sunderland,Roefs,start,2026-08-20
Sunderland,Reinildo,start,2026-08-20
Sunderland,Ballard,start,2026-08-20
Sunderland,O'Nien,start,2026-08-20
Sunderland,Hume,start,2026-08-20
Sunderland,Sadiki,start,2026-08-20
Sunderland,Xhaka,start,2026-08-20
Sunderland,Angulo,start,2026-08-20
Sunderland,Le Fee,start,2026-08-20
Sunderland,Talbi,start,2026-08-20
Sunderland,Brobbey,start,2026-08-20
Everton,Pickford,start,2026-08-20
Everton,Mykolenko,start,2026-08-20
Everton,Branthwaite,start,2026-08-20
Everton,Tarkowski,start,2026-08-20
Everton,O'Brien,start,2026-08-20
Everton,Armstrong,start,2026-08-20
Everton,Hackney,start,2026-08-20
Everton,Ndiaye,start,2026-08-20
Everton,Dewsbury-Hall,start,2026-08-20
Everton,Rohl,start,2026-08-20
Everton,Barry,start,2026-08-20
Crystal Palace,Henderson,start,2026-08-20
Crystal Palace,Richards,start,2026-08-20
Crystal Palace,Canvot,start,2026-08-20
Crystal Palace,Riad,start,2026-08-20
Crystal Palace,Mitchell,start,2026-08-20
Crystal Palace,Kamada,start,2026-08-20
Crystal Palace,Wharton,start,2026-08-20
Crystal Palace,Mingueza,start,2026-08-20
Crystal Palace,McNeil,start,2026-08-20
Crystal Palace,Sarr,start,2026-08-20
Crystal Palace,Strand Larsen,start,2026-08-20
Brentford,Kelleher,start,2026-08-20
Brentford,Lewis-Potter,start,2026-08-20
Brentford,Collins,start,2026-08-20
Brentford,Ajer,start,2026-08-20
Brentford,Kayode,start,2026-08-20
